Name,Gen,Gen2,Description,Note,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Point Card,4,,Stores Battle Points (BP) earned at the Battle Tower or Battle Frontier.,,ポイントカード,Point Card,Carte Points,Punktekarte,Scheda Punti,Tarj. Puntos,포인트카드,Point Card,點數卡 / 点数卡,Diǎnshù Kǎ / Dímsou Kāat,0
Yellow Shard,3,,Exchangeable for a variety of services.,,きいろいかけら,Kiiroi Kakera,Tesson Jaune,Gelbstück,Coccio Giallo,Parte Amarilla,노랑조각,Norang Jogak,黃色碎片 / 黄色碎片,Huángsè Suìpiàn / Wòhngsīk Seuipin,48
Spell Tag,2,,Raises the power of Ghost-type moves.,,のろいのおふだ,Noroi no Ofuda,Rune Sort,Bannsticker,Spettrotarga,Hechizo,저주의부적,Jeojuui Bujeok,詛咒之符 / 诅咒之符,Zǔzhòu-zhī Fú / Jojau-jī Fùh,0
Ein File P,3,,Describes purification.,,ボルグファイルＲ,Borg File R,Dossier Teck P,Culpa-Akte C-E,Genus.File P,Parte Ein: P,,,,,0
Poké Snack,,,,,ポケまんま,Poké Manma,Poké Snack,Pokésnack,Poké Snack,Poké Dulce,,,,,0
Sachet,6,,Allows Spritzee to evolve when traded.,,においぶくろ,Nioi Bukuro,Sachet Senteur,Duftbeutel,Bustina Aromi,Saquito Fragante,향기주머니,Hyang-gi Jumeoni,香袋,Xiāngdài / Hēungdoih,0
TMV Pass,6,,Allows the player to ride the TMV and access Kiloude City.,,TMVパス,TMV Pass,Passe TMV,TMV-Pass,Pass TMV,Abono del TMV,TMV패스,TMV Pass,ＴＭＶ自由票,TMV Zìyóu Piào / TMV Jihyàuh Piu,0
Eggant Berry,3,,Cures infatuation status. Will turn into an Enigma Berry if transferred to Generation IV via Pal Park.,,,,,,,,,,,,0
Joy Scent,3,,"Reduces heart gauge by a small amount, but increases friendship.",,ルンルンのかおり,Runrun no Kaori,P. Doux,Froh-E.,Olio di Pino,Ar. Alegría,,,,,0
Water Gem,5,,"Increases the power of the holder's first Water-type move by 50%, and is consumed after use.",,みずのジュエル,Mizu no Jewel,Joyau Eau,Wasserjuwel,Bijouacqua,Gema Agua,물주얼,Mul Jewel,水之寶石 / 水之宝石,Shuǐ-zhī Bǎoshí / Séui-jī Bóusehk,16
Odd Incense,4,,Raises the power of Psychic-type moves. Mr. Mime holding this can breed Mime Jr.,,あやしいおこう,Oyashii Okō,Encens Bizarre,Schrägrauch,Bizzoaroma,Incienso raro,괴상한향로,Goesanghan Hyangno,奇異薰香 / 奇异薰香,Qíyì Xūnxiāng / Kèihyih Fānhēung,144
Machine Part,2,,The missing part from the Power Plant.,,"きかいのぶひん
マシンパーツ","Kikai no Buhin
Machine Part","Partie de Machine
Piece Meca.","Spule
Ersatzteil","Pezzo macch.
Meccanismo","Maquinaria
Pieza Esp.",기계부품,Gigye Bupum,機械零件 / 机械零件,Jīxiè Língjiàn / Gēihaaih Lìhnggín,0
Pixie Plate,6,,Raises the power of Fairy-type moves.,,せいれいプレート,Seirei Purēto,Plaque Pixie,Feentafel,Lastraspiritello,Tabla Duende,정령플레이트,Jeonglyeong Plate,妖精石板,Yāojīng Shíbǎn / Yīujīng Sehkbáan,0
Mystic Water,2,,Raises the power of Water-type moves.,,しんぴのしずく,Shinpi no Shizuku,Eau Mystique,Zauberwasser,Acqua Magica,Agua Mística,신비의물방울,Sinbiui Mulbang-ul,神秘水滴,Shénmì shuǐdī / Sàhnbei Séuidihk,32
Discount Coupon,6,,Used at any boutique for a one-time 50% discount.,,バーゲンチケット,Bargain Ticket,Bon Réduction,Rabattmarke,Buono sconto,Vale Descuento,바겐세일티켓,Bargain Ticket,折價券 / 折价券,Zhéjià Quàn / Jitga Gyun,0
Roto Friendship,,,,,なつきポン,Natsuki Pon,Moti-Cœur,Freundschaftsbon,Affetto'n'roll,Cupón Amistad, ???, ???,親密碰碰 / 亲密碰碰,Qīnmì Pèngpèng / Chānmaht Pungpung,0
Sea Incense,3,,Raises the power of Water-type moves. A Marill or Azumarill holding this can breed to produce Azurill Eggs.,,うしおのおこう,Ushio no Okou,Encens Mer,Seerauch,Marearoma,Incienso marino,바닷물향로,Badasmul Hyangno,海潮薰香,Hǎicháo Xūnxiāng / Hóichìuh Fānhēung,16
Comet Shard,5,,Can be sold for 60000.,,すいせいのかけら,Suisei no Kakera,Morceau Comète,Kometstück,Pezzo Cometa,Fragmento Cometa,혜성조각,Hyeseong Jogak,彗星碎片,Huìxīng Suìpiàn / Seuihsīng Seuipín,144
Bicycle,1,,"Can be used to travel quickly. Cannot be ridden in swamps, or in very tall grass.",,じてんしゃ,Jitensha,Bicyclette,Fahrrad,Bicicletta,Bici,자전거,Jajeon-geo,自行車 / 自行车,Zìxíngchē / Jihhàhngchē,16
Magma Emblem,3,,Allows entrance into the Team Magma Hideout.,,マグマのしるし,Magma no Shirushi,Emblème Magma,Magmaemblem,Stemma Magma,Signo Magma,,,,,0
Destiny Knot,4,,Infatuates the foe if the holder becomes infatuated.,,あかいいと,Akai Ito,Nœud Destin,Fatumknoten,Destincomune,Lazo Destino,빨간실,Ppalgan Sil,紅線 / 红线,Hóngxiàn / Hùhngsin,0
Insect Plate,4,,Raises the power of Bug-type moves.,,たまむしプレート,Tamamushi Purēto,Plaquinsect,Käfertafel,Lastrabaco,Tabla Bicho,비단벌레플레이트,Bidanbeolle Plate,玉蟲石板 / 玉虫石板,Yùchóng Shíbǎn / Yuhkchùhng Sehkbáan,0
Powerup Part,3,,Used to fix the Kids Grid system.,,きょうかパーツ,Kyōka Parts,Amplificateur,Ersatzteil,Espansione,Potenciador,,,,,0
Key to Room 1,6,,Opens Room 1 of the Abandoned ShipRSE/Sea MauvilleORAS.,Called Rm. 1 Key in Generation III.,いちごうしつのカギ,Ichi-gō Shitsu no Kagi,Clé Salle 1,R1-Schlüssel,Chiave stanza 1,Ll. Habitación 1,일호실열쇠,Il-hosil Yeolsoe,"１號客房的鑰匙 /
１号客房的钥匙",1 Hào Kèfáng-de Yàoshi / 1 Houh Haakfóng-dīk Yeuhksìh,1616
Music Disc,3,,Allows a change of music in Trest's house.,,おんがくソフト,Ongaku Soft,CD Musique,Musik-CD,CD Musicale,Disco Música,,,,,0
Pumkin Berry,3,,"Cures a frozen Pokémon. If transferred to Generation IV via Pal Park, it will turn into an Enigma Berry.",,,,,,,,,,,,0
Oran Berry,3,,Restores 10 HP.,,オレンのみ,Oren no Mi,Baie Oran,Sinelbeere,Baccarancia,Baya Aranja,오랭열매,Oraeng Yeolmae,橙橙果,Chéngchéng Guǒ / Chàahngchàahng Gwó,0
Cameruptite,6,,Allows Camerupt to Mega Evolve into Mega Camerupt.,,バクーダナイト,Bakuudanite,Caméruptite,Cameruptnit,Cameruptite,Cameruptita,폭타나이트,Poktanite,噴火駝進化石 / 喷火驼进化石,Pēnhuǒtuó Jìnhuà Shí / Panfótòh Jeunfa Sehk,0
Ice Berry,2,,Heals a burn.,,こおったきのみ,Kōtta Kino Mi,Baie Gel,Eisbeere,Bacca Ghiac.,Baya Hielo,얼은나무열매,Eoreun Namu Yeolmae,,,0
Mewtwonite X,6,,Allows Mewtwo to Mega Evolve into Mega Mewtwo X.,,ミュウツナイトX,Mewtwonite X,Mewtwoïte X,Mewtunit X,Mewtwoite X,Mewtwoita X,뮤츠나이트X,Mewtwonite X,超夢進化石X / 超梦进化石X,Chāomèng Jìnhuà Shí X / Chīumuhng Jeunfa Sehk X,0
Kangaskhanite,6,,Allows Kangaskhan to Mega Evolve into Mega Kangaskhan.,,ガルーラナイト,Garuranite,Kangourexite,Kangamanit,Kangaskhanite,Kangaskhanita,캥카나이트,Kengkanite,袋獸進化石 / 袋兽进化石,Dàishòu Jìnhuà Shí / Doihsau Jeunfa Sehk,0
Coupon 3,4,,Used to obtain the Pokétch in Jubilife City.,,ひきかえけん３,Hikikaeken 3,Bon 3,Kupon 3,Coupon 3,Cupón 3,교환권 3,Gyohwangwon 3,兌換券３ / 兑换券３,Duìhuàn Quàn 3 / Deuiwuhn Hyun 3,0
Life Orb,4,,"Raises the power of moves, but causes recoil damage.",,いのちのたま,Inochi no Tama,Orbe Vie,Leben-Orb,Assorbisfera,Vidasfera,생명의구슬,Saengmyeong-ui Guseul,生命寶珠 / 生命宝珠,Shēngmìng Bǎozhū / Sāngmihng Bóujyū,0
Wise Glasses,4,,Raises the power of special moves.,,ものしりメガネ,Monoshiri Megane,Lunettes Sages,Schlauglas,Saviocchiali,Gafas Especiales,박식안경,Baksik An-gyeong,博識眼鏡 / 博识眼镜,Bóshì Yǎnjìng / Boksīk Ngáahngeng,144
Big Root,4,,Increases the amount of HP restored when an HP-draining move is used by 30%.,,おおきなねっこ,Ōkina Nekko,Grosse Racine,Großwurzel,Granradice,Raíz Grande,큰뿌리,Keun Ppuri,大根莖 / 大根茎,Dà Gēnjīng / Daaih Gānging,128
Adamant Orb,4,,Boosts Dialga's Steel- and Dragon-type attacks.,,こんごうだま,Kongō Dama,Orbe Adamant,Adamant-Orb,Adamasfera,Diamansfera,금강옥,Geumgang Ok,金剛寶珠 / 金刚宝珠,Jīngāng Bǎozhū / Gāmgōng Bóujyū,0
Sitrus Berry,3,,Restores 30 HP in Generation III. Restores ¼ of maximum HP from Generation IV onwards.,,オボンのみ,Obon no Mi,Baie Sitrus,Tsitrubeere,Baccacedro,Baya Zidra,자뭉열매,Jamung Yeolmae,文柚果,Wényòu Guǒ / Màhnyauh Gwó,0
Poison Gem,5,,"Increases the power of the holder's first Poison-type move by 50%, and is consumed after use.",,どくのジュエル,Doku no Jewel,Joyau Poison,Giftjuwel,Bijouveleno,Gema Veneno,독주얼,Dok Jewel,毒之寶石 / 毒之宝石,Dú-zhī Bǎoshí / Duhk-jī Bóusehk,16
Ein File S,3,,Describes Shadow Pokémon.,,ボルグファイルＤ,Borg File D,Dossier Teck O,Culpa-Akte C-P,Genus.File O,Parte Ein: O,,,,,0
Sprayduck,4,,Used to water Berry plants.,,コダックじょうろ,Koduck Jōro,Kwakarrosoir,Entonkanne,Sprayduck,Psydugadera,고라파덕물뿌리개,Gorapaduck Mulppurigae,可達鴨噴壺 / 可达鸭喷壶,Kědáyā Pēnhú / Hódaahtáap Panwùh,0
Ein File H,3,,Describes Hyper Mode.,,ボルグファイルＨ,Borg File H,Dossier Teck H,Culpa-Akte F-M,Genus.File I,Parte Ein: H,,,,,0
Card Key,3,,Allows the player to access the east wing of the Shadow PKMN Lab.,,カードキー,Card Key,"Carte Magn.
Cle Magnetique","Türöffner
Schlüsselkarte",Apriporta,"Llave Magnética
T. Magnética",카드키,Card Key,鑰匙卡 / 钥匙卡,Yàoshi Kǎ / Yeuhksìh Kāat,0
Surge Badge,,,,,だいだいバッジ,Daidai Badge,Fulguro-Badge,Gewitterorden,Medaglia Tonante,Medalla Fulgor,주황배지,Juhwang Badge,橘色徽章 / 桔色徽章,Jú-sè Huīzhāng / Gwāt-sīk Fāijēung,0
Portraitmail,2,,Mail that contains a silhouette of the Pokémon holding it. To be held by a Pokémon for delivery.,,にがおえメール,Nigaoe Mail,LetrPortrait,Portraitbrief,Mess. Ritratto,Cart-Retrato,초상화메일,Chosanghwa Mail,,,0
Scope Lens,3,,Raises chances of getting a critical hit.,,ピントレンズ,Pint Lens,Lentilscope,Scope-Linse,Mirino,Periscopio,초점렌즈,Chojeom Lens,焦點鏡 / 焦点镜,Jiāodiǎn Jìng / Jīudím Geng,0
X Defense,1,,Raises a Pokémon's Defense by 2 stages (1 stage before Gen. VII).,Called X Defend prior to Generation VI.,ディフェンダー,Defender,Defense +,X-Abwehr,Difesa X,Defensa X,디펜드업,Defend-Up,防禦強化 / 防御强化,Fángyù Qiánghuà / Fòhngyuh Kèuhngfa,1024
Fairy Memory,7,,Makes Silvally a Fairy-type Pokémon and makes Multi-Attack a Fairy-type move.,,フェアリーメモリ,Fairy Memory,ROM Fée,Feen-Disc,ROM Folletto,Disco Hada,페어리메모리,Fairy Memory,"妖精記憶碟*
妖精存储碟","Yāojing Jìyìdié / Yíujīng Geiyīkdihp*
Yāojīng Cúnchǔdié",3
Chople Berry,4,,Reduces damage from a super effective Fighting-type move by 50%.,,ヨプのみ,Yop no Mi,Baie Pomroz,Rospelbeere,Baccarosmel,Baya Pomaro,로플열매,Ropeul Yeolmae,蓮蒲果 / 莲蒲果,Liánpú Guǒ / Lìhnpòuh Gwó,0
U-Disk,3,,Moves the UFO in The Under to Pyrite Town's windmill.,,Ｕ－ディスク,U-Disk,Disque-H,O-Disc,Disco Su,Disco S,,,,,0
X Attack 6,5,,Immensely raises a Pokémon's Attack. Wonder Launcher only.,,,,,,,,,,,,0
Pink Scarf,3,,Raises the Cute condition.,,ピンクのバンダナ,Pink no Bandana,Foul. Rose,Rosa Schal,Fascia Rosa,Pañuelo Rosa,분홍밴드,Bunhong Band,粉紅頭巾 / 粉红头巾,Fěnhóng Tóujīn / Fánhùhng Tàuhgān,0
Scanner,3,,To be exchanged for a Deep Sea Scale or Deep Sea Tooth.,,たんちき,Tanchiki,Scanner,Scanner,Scanner,Escáner,탐지기,Tamjigi,探測器 / 探测器,Tàncèqì / Taamchākhei,0
Chilan Berry,3,,Pokéblock ingredient.,,ホズのみ,Hozu no Mi,Baie Zalis,Latchibeere,Baccacinlan,Baya Chilan,카리열매,Kari Yeolmae,燈漿果 / 燈漿果,Dēngjiāng Guǒ / Dāngjēung Gwó,0
Acro Bike,3,,A bicycle with which the player can do tricks such as jump sideways.,,ダートじてんしゃ,Dirt Jitensha,Vélo Cross,Kunstrad,Bici da cross,Bici Acrobática,더트자전거,Dirt Jajeongeo,越野自行車 / 越野自行车,Yuèyě Zìxíngchē / Yuhtyéh Jihhàhngchē,32
Bright Powder,2,,Lowers the opponent's accuracy.,Formatted as BrightPowder prior to Generation VI.,ひかりのこな,Hikari no Kona,Poudre Claire,Blendpuder,Luminpolvere,Polvo Brillo,반짝가루,Banjjak Garu,光粉,Guāngfěn / Gwōngfán,1152
X Sp. Def 3,5,,Drastically raises a Pokémon's Special Defense. Wonder Launcher only.,,,,,,,,,,,,0
Shiny Charm,5,,A shiny charm said to increase the chance of finding a Shiny Pokémon.,,ひかるおまもり,Shining Charm,Charme Chroma,Schillerpin,Cromamuleto,Amuleto Iris,빚나는부적,Bitna-neun Bujeok,閃耀護符 / 闪耀护符,Shǎnyào Hùfú / Símyiuh Wuhfùh,128
Lunalium Z,7,,Allows Lunala and Dawn Wings Necrozma to upgrade Moongeist Beam to the special Z-Move Menacing Moonraze Maelstrom.,,ルナアーラＺ,Lunala-Z,Lunazélite,Lunalium Z,Lunalium Z,Lunalastal Z,루나아라Z,Lunala-Z,露奈雅拉Ｚ,Lùnàiyǎlā-Z / Louhnoihngáhlāai-Z,0
Clear Bell,2,,Summons SuicuneC or Ho-OhHGOR.,,とうめいなスズ,Tōmei-na Suzu,Glas Transparent,Klarglocke,Campana Chiara,Campana Clara,크리스탈방울,Crystal Bang-ul,透明鈴鐺 / 透明铃铛,Tòumíng Língdāng / Taumìhng Lìhngdōng,0
Rock Incense,4,,Raises the power of Rock-type moves. A Sudowoodo holding this can breed to produce Bonsly Eggs.,,がんせきおこう,Ganseki Okō,Encens Roc,Steinrauch,Roccioaroma,Incienso roca,암석향로,Amseog Hyangno,岩石薰香,Yánshí Xūnxiāng / Ngàahmsehk Fānhēung,16
Purple Petal,7,,A purple petal required to complete Mina's Trial.,,むらさきはなびら,Murasaki Hanabira,Pétale Violet,Violettes Blatt,Petalo violetto,Pétalo Violeta,보라꽃잎,Bora Kkochip,紫色花瓣,Zǐ-sè Huābàn / Jí-sīk Fāfáan,0
Pretty Wing,5,,An item that does absolutely nothing.,,きれいなハネ,Kireina Hane,Jolie Aile,Prachtfeder,Piumabella,Pluma Bella,고운날개,Goun Nalgae,美麗之羽 / 美丽之羽,Měilì-zhī Yǔ / Méihlaih-jī Yúh,16
X Attack 3,5,,Drastically raises a Pokémon's Attack. Wonder Launcher only.,,,,,,,,,,,,0
Ether,1,,Restores 10 PP of one move of a Pokémon.,,ピーピーエイド,PP Aid,Huile,Äther,Etere,Éter,PP에이드,PP Aid,ＰＰ單項小補劑 / ＰＰ单项小补剂,PP Dānxiàng Xiǎobǔjì / PP Dāanhohng Síubóujaih,0
Power Band,4,,"Promotes Special Defense EVs, but lowers Speed in battle.",,パワーバンド,Power Band,Bandeau Pouvoir,Machtband,Vigorbanda,Banda Recia,파워밴드,Power Band,力量束帶 / 力量束带,Lìliàng Shùdài / Lihkleuhng Chūkdaai,128
Electrium Z,7,,Allows a Pokémon to upgrade their Electric-type damaging moves to the Z-Move Gigavolt Havoc or upgrade their Electric-type status moves into Z-Moves. Makes Arceus an Electric-type Pokémon.,,デンキＺ,Electric-Z,Voltazélite,Voltium Z,Electrium Z,Electrostal Z,전기Z,Jeon-gi-Z,電Ｚ / 电Ｚ,Diàn-Z / Dihn-Z,0
Slowbronite,6,,Allows Slowbro to Mega Evolve into Mega Slowbro.,,ヤドランナイト,Yadorannite,Flagadossite,Lahmusnit,Slowbroite,Slowbronita,야도란나이트,Yadonrannite,呆殼獸進化石 / 呆壳兽进化石,Dāikéshòu Jìnhuà Shí / Ngòihhoksau Jeunfa Sehk,0
Wailmer Pail,3,,Used to water Berry plants.,,ホエルコじょうろ,Hoeruko Jōro,Wailmerrosoir,Wailmerkanne,Vaso Wailmer,Wailmegadera,고래왕자물뿌리개,Goraewangja Mulppurigae,吼吼鯨噴壺 / 吼吼鲸喷壶,Hǒuhǒujīng Pēnhú / Hāauhāaukìhng Panwùh,144
Relic Copper,5,,Can be sold for 1000 to the villa owner in Undella Town.,,こだいのどうか,Kodai no Dōka,Vieux Sou,Alter Heller,Soldantico,Real Cobre,고대의동화,Godae-yi Donghwa,古代銅幣 / 古代铜币,Gǔdài Tóngbì / Gúdoih Tùhngbaih,0
Flyinium Z,7,,Allows a Pokémon to upgrade their Flying-type damaging moves to the Z-Move Supersonic Skystrike or upgrade their Flying-type status moves into Z-Moves. Makes Arceus a Flying-type Pokémon.,,ヒコウＺ,Flying-Z,Aérozélite,Aerium Z,Volantium Z,Aerostal Z,비행Z,Bihaeng-Z,飛行Ｚ / 飞行Ｚ,Fēixíng-Z / Fēihàhng-Z,0
Gear,3,,Keeps the Pyrite Town generators going.,,はぐるま,Haguruma,Roue Dentee,Zahnrad,Ingranaggio,Rueda,,,,,0
Rage Candy Bar,,,,,いかりまんじゅう,Ikari Manjū,Bonbon Rage,Wutkeks,Iramella,Caram. Furia,분노의호두과자,Bunno-ui Hodugwaja,憤怒饅頭 / 愤怒馒头,Fènnù Mántou / Fáhnnouh Màahntàuh,1024
Harbor Mail,3,,Mail with a nautical design. To be held by a Pokémon for delivery.,,ハーバーメール,Harbor Mail,Lettre Port,Hafenbrief,Mess. Porto,Carta Puerto,,,,,0
Dark Memory,7,,Makes Silvally a Dark-type Pokémon and makes Multi-Attack a Dark-type move.,,ダークメモリ,Dark Memory,ROM Ténèbres,Unlicht-Disc,ROM Buio,Disco Siniestro,다크메모리,Dark Memory,"黑暗記憶碟*
黑暗存储碟","Hēi'àn Jìyìdié / Hāk'am Geiyīkdihp*
Hēi'àn Cúnchǔdié",3
Tanga Berry,3,,Lowers effectiveness of a super effective Bug-type move.,,タンガのみ,Tanga no Mi,Baie Panga,Tanigabeere,Baccaitan,Baya Yecana,리체열매,Riche Yeolmae,扁櫻果 / 扁樱果,Biǎnyīng Guǒ / Bínyīng Gwó,0
Pokéblock Case,3,,Stores Pokéblocks.,,ポロックケース,Polock Case,Boite Pokéblocs,Pokériegel Box,Porta Pokémelle,Tubo PokéCubos,포켓몬스넥케이스,Pokémon Snack Case,寶可方塊盒 / 宝可方块盒,Bǎokě Fāngkuài Hé / Bóuhó Fōngfaai Hahp,0
Excite Scent,3,,"Reduces heart gauge, increases friendship.",,ワクワクのかおり,Wakuwaku no Kaori,P. Tonifiant,Glücks-E.,Olio di Rosa,Ar. Emoción,,,,,0
Bluesky Mail,4,,A sky-print mail. To be held by a Pokémon for delivery.,,あおぞらメール,Aozora Mail,LetrCielBleu,Kobaltbrief,Mess. Cielo,Cartaceleste,푸른하늘메일,Pureun Haneul Mail,,,0
Claw Fossil,3,,A Fossil from which an Anorith can be resurrected.,,ツメのカセキ,Tsume no Kaseki,Fossile Griffe,Klauenfossil,Fossilunghia,Fósil Garra,발톱화석,Baltop Hwaseok,爪子化石,Zhuǎzi Huàshí / Jáaují Fasehk,128
Resist Wing,5,,Raises the Defense of a Pokémon.,,ていこうのハネ,Teikō no Hane,Aile Armure,Abwehrfeder,Piumtutela,Pluma Aguante,저항력날개,Jeohangryeok Nalgae,抵抗之羽,Dǐkàng-zhī Yǔ / Dáikong-jī Yúh,16
Power Lens,4,,"Promotes Special Attack EVs, but lowers Speed in battle.",,パワーレンズ,Power Lens,Lentille Pouvoir,Machtlinse,Vigorlente,Lente Recia,파워렌즈,Power Lens,力量鏡 / 力量镜,Lìliàng Jìng / Lihkleuhng Geng,128
Charti Berry,4,,Reduces damage from a super effective Rock-type move by 50%.,,ヨロギのみ,Yorogi no Mi,Baie Charti,Chiaribeere,Baccaciofo,Baya Alcho,루미열매,Rumi Yeolmae,草蠶果 / 草蚕果,Cǎocán Guǒ / Chóuchàahm Gwó,0
Dive Ball,3,,A type of Poké Ball that works better on Pokémon encountered underwaterRSEORAS or while Surfing or fishingFRLGDPPtHGSSBWB2W2XY.,,ダイブボール,Dive Ball,Scuba Ball,Tauchball,Sub Ball,Buceo Ball,다이브볼,Dive Ball,潛水球 / 潜水球,Qiánshuǐ Qiú / Chìhmséui Kàuh,0
Contest Costume,6,,Worn during Pokémon Contest Spectacular performances.,,"ライブスーツ
ライブドレス","Live Suit
Live Dress","Costume Live
Robe Live","Live-Anzug
Live-Kleid","Costume Live
Vestito Live","Traje de Gala
Vestido de Gala","라이브슈트
라이브드레스","Live Suit
Live Dress","演出禮服 / 演出礼服
演出禮裙 / 演出礼裙","Yǎnchū Lǐfú / Yínchēut Láihfuhk
Yǎnchū Lǐqún / Yínchēut Láihkwàhn",0
Zinc,3,,Raises the Special Defense of a Pokémon.,,キトサン,Chitosan,Zinc,Zink,Zinco,Zinc,키토산,Chitosan,特防增強劑 / 特防增强剂,PP Tíshēngjì / PP Tàihsīngjaih,0
Max Revive,1,,Revives a Pokémon to full health.,,げんきのかたまり,Genki no Katamari,Rappel Max,Top-Beleber,Revitalizz. Max,Revivir Máximo,기력의덩어리,Giryeog-ui Deong-eori,活力塊 / 活力块,Huólì Kuài / Wuhtlihk Faai,48
Old Amber,1,,A Fossil from which an Aerodactyl can be resurrected.,,ひみつのコハク,Himitsu no Kohaku,Vieil Ambre,Altbernstein,Ambra Antica,Ambar Viejo,비밀의호박,Bimirui Hobak,秘密琥珀,Mìmì Hǔpò / Beimaht Fúpaak,0
Occa Berry,4,,Reduces damage taken from a super effective Fire-type move.,,オッカのみ,Occa no Mi,Baie Chocco,Koakobeere,Baccacao,Baya Caoca,오카열매,Oca Yeolmae,巧可果,Qiǎokě Guǒ / HáauhóGwó,0
Luck Incense,4,,Causes earnings to double in battles against other Trainers. A Chansey or Blissey holding it can breed to produce a Happiny.,,こううんのおこう,Kōun no Okō,Encens Veine,Glücksrauch,Fortunaroma,Incienso duplo,행운의향로,Haeng-unui Hyangno,幸運薰香 / 幸运薰香,Xìngyùn Xūnxiāng / Hahngwahn Fānhēung,16
Iron Ball,4,,Cuts a Pokémon's Speed and makes it susceptible to Ground-type moves.,,くろいてっきゅう,Kuroi Tekkyū,Balle Fer,Eisenkugel,Ferropalla,Bola Férrea,검은철구,Geomeun Cheolgu,黑色鐵球 / 黑色铁球,Hēi-sè Tiěqiú / Hāak-sīk Titkàuh,0
Festival Ticket,7,,A ticket that allows you to host a mission in Festival Plaza.,,フェスチケット,Fest Ticket,Festicket,Festival-Ticket,Festicket,Festicupón,페스티켓,Fest Ticket,圓慶票 / 圆庆票,Yuánqìng Piào / Yùhnhing Piu,0
Fire Gem,5,,"Increases the power of the holder's first Fire-type move by 50%, and is consumed after use.",,ほのおのジュエル,Honō no Jewel,Joyau Feu,Feuerjuwel,Bijoufuoco,Gema Fuego,불꽃주얼,Bulkkot Jewel,火之寶石 / 火之宝石,Huǒ-zhī Bǎoshí / Fó-jī Bóusehk,16
Yellow Flute,3,,Snaps a Pokémon out of Confusion.RSEFRLGColoXDDPPtHGSSORAS Can be sold for 7500.BWB2W2,,きいろビードロ,Kiiro Vidro,Flûte Jaune,Gelbe Flöte,Flauto Giallo,Flauta Amarilla,노랑비드로,Norang Vidro,黃色玻璃哨 / 黄色玻璃哨,Huáng-sè Bōlí Shào / Wòhng-sīk Bōlèih Saau,176
Suite Key,4,,Give to NPC in exchange for Lava Cookie.,,ルームキー,Room Key,Clé Chambre,B-Schlüssel,Chiave Suite,Llave Suite,룸키,Room Key,房間鑰匙 / 房间钥匙,Fángjiān Yàoshi / Fòhnggāan Yeuhksìh,0
Max Elixir,1,,Restores all of a Pokémon's PP.,,ピーピーマックス,PP Max,Max Elixir,Top-Elixier,Elisir Max,Elixir Máximo,PP맥스,PP Max,ＰＰ多項全補劑 / ＰＰ多项全补剂,PP Duōxiàng Quánbǔjì / PP Dōhohng Chyùhnbóujaih,1024
Vs. Recorder,4,,Used to record and replay battles.,,バトルレコーダー,Battle Recorder,Magnéto VS,Kampfkamera,Registradati,Cámara Lucha,배틀레코더,Battle Recorder,對戰記錄器 / 对战记录器,Duìzhàn Jìlù Qì / Deuijin Geiluhk Hei,0
Calcium,1,,Raises the Special Attack of a Pokémon.,,リゾチウム,Lysozyme,Calcium,Kalzium,Calcio,Calcio,리보플라빈,Riboflavin,特攻增強劑 / 特攻增强剂,Tègōng Zēngqiángjì / Dahkgūng Jāngkèuhngjaih,0
Ginema Berry,3,,"Raises a lowered stat in battle. If transferred to Generation IV via Pal Park, it will turn into an Enigma Berry.",,,,,,,,,,,,0
Dragon Skull,5,,Stolen from the Nacrene Museum by a Team Plasma Grunt.,,ドラゴンのホネ,Dragon no Hone,Crâne Dragon,Drakoschädel,Teschio,Crán. Dragón,드래곤의뼈,Dragon-yi Ppyeo,龍之骨 / 龙之骨,Lóng-zhī Gǔ / Lùhng-jī Gwāt,0
Vs. Seeker,3,,Used to prompt Trainers for a rematch.,,バトルサーチャー,Battle Searcher,Cherche VS,Kampffahnder,Cercasfide,Buscapelea,배틀서처,Battle Searcher,對戰搜尋器 / 对战搜寻器,Duìzhàn Sōuxún Qì / Deuijin Sāuchàhm Hei,0
Roto Boost,,,,,おうえんポン,Ōen Pon,Moti-Soutien,Statuswertebon,Stat'n'roll,Cupón Refuerzo, ???, ???,加油碰碰,Jiāyóu Pèngpèng / Gāyáu Pungpung,0
Choice Specs,4,,"Raises user's Special Attack, but they can only use one move.",,こだわりメガネ,Kodawari Megane,Lunettes Choix,Wahlglas,Lentiscelta,Gafas Elegid,구애안경,Guae An-gyeong,講究眼鏡 / 讲究眼镜,Jiǎngjiù Yǎnjìng / Gónggau Ngáahngeng,128
Blue Petal,7,,A blue petal required to complete Mina's Trial.,,あおのはなびら,Ao no Hanabira,Pétale Bleu,Blaues Blatt,Petalo azzurro,Pétalo Azul,파랑꽃잎,Parang Kkochip,藍色花瓣 / 蓝色花瓣,Lán-sè Huābàn / Làahm-sīk Fāfáan,0
Buginium Z,7,,Allows a Pokémon to upgrade their Bug-type damaging moves to the Z-Move Savage Spin-Out or upgrade their Bug-type status moves into Z-Moves. Makes Arceus a Bug-type Pokémon.,,ムシＺ,Bug-Z,Insectozélite,Insectium Z,Insectium Z,Insectostal Z,벌레Z,Beolle-Z,蟲Ｚ / 虫Ｚ,Chóng-Z / Chùhng-Z,0
