ID,English,Japanese_Kana,Japanese_Hepburn,Japanese_Trademarked,German,French,Korean_Hangul,Korean_Revised,Korean_McCune_Reischauer,Korean_Official,Chinese_Traditional,Chinese_Simplified,Chinese_Pinyin,Chinese_Yale,Chinese_Former_Names
373,Salamence,ボーマンダ,Bōmanda,Bohmander,Brutalanda,Drattak,보만다,Bomanda,Pomanda,Bomanda,暴飛龍,暴飞龙,Bàofēilóng,Bouhfēilùhng,"暴蠑螈 / 暴蝾螈 Bàoróngyuán (TW/CN)
暴蠑螈 Bouhwìhngyùhn (HK)"
374,Beldum,ダンバル,Danbaru,Dumbber,Tanhel,Terhal,메탕,Metang,Met'ang,Metan,鐵啞鈴,铁哑铃,Tiéyǎlíng,Tit'álìhng,-
375,Metang,メタング,Metangu,Metang,Metang,Métang,메탕구,Metanggu,Met'anggu,Metangoo,金屬怪,金属怪,Jīnshǔguài,Gāmsuhkgwaai,-
376,Metagross,メタグロス,Metagurosu,Metagross,Metagross,Métalosse,메타그로스,Metageuroseu,Metagŭrosŭ,Metagross,巨金怪,巨金怪,Jùjīnguài,Geuihgāmgwaai,-
377,Regirock,レジロック,Rejirokku,Regirock,Regirock,Regirock,레지락,Rejirak,Rejirak,Regirock,雷吉洛克,雷吉洛克,Léijīluòkě,Lèuihgātlokhāk,-
378,Regice,レジアイス,Rejiaisu,Regice,Regice,Regice,레지아이스,Rejiaiseu,Rejiaisŭ,Regice,雷吉艾斯,雷吉艾斯,Léijī'àisī,Lèuihgātngaaihsī,-
379,Registeel,レジスチル,Rejisuchiru,Registeel,Registeel,Registeel,레지스틸,Rejiseutil,Rejisŭt'il,Registeel,雷吉斯奇魯,雷吉斯奇鲁,Léijīsīqílù,Lèuihgātsīkèihlóuh,-
380,Latias,ラティアス,Ratiasu,Latias,Latias,Latias,라티아스,Ratiaseu,Ratiasŭ,Latias,拉帝亞斯,拉帝亚斯,"Lādìyǎsī
Lādìyāsī",Lāaidai'asī,-
381,Latios,ラティオス,Ratiosu,Latios,Latios,Latios,라티오스,Ratioseu,Ratiosŭ,Latios,拉帝歐斯,拉帝欧斯,Lādì'ōusī,Lāaidai'āusī,-
382,Kyogre,カイオーガ,Kaiōga,Kyogre,Kyogre,Kyogre,가이오가,Gaioga,Kaioga,Kyogre,蓋歐卡,盖欧卡,Gài'ōukǎ,Koi'āukā,-
383,Groudon,グラードン,Gurādon,Groudon,Groudon,Groudon,그란돈,Geurandon,Kŭrandon,Groudon,固拉多,固拉多,Gūlādūo,Gulāaidō,-
384,Rayquaza,レックウザ,Rekkūza,Rayquaza,Rayquaza,Rayquaza,레쿠쟈,Rekujya,Rek'ujya,Rayquaza,烈空坐,烈空坐,Lièkōngzuò,Lihthūngjoh,-
385,Jirachi,ジラーチ,Jirāchi,Jirachi,Jirachi,Jirachi,지라치,Jirachi,Chirach'i,Jirachi,基拉祈,基拉祈,Jīlāqí,Gēilāaikèih,-
386,Deoxys,デオキシス,Deokishisu,Deoxys,Deoxys,Deoxys,테오키스,Teokiseu,T'eok'isŭ,Teoxys,代歐奇希斯,代欧奇希斯,Dài'ōuqíxīsī,Doih'āukèihhēisī,-
387,Turtwig,ナエトル,Naetoru,Naetle,Chelast,Tortipouss,모부기,Mobugi,Mobugi,Mobugi,草苗龜,草苗龟,Cǎomiáoguī,Chóumìuhgwāi,-
388,Grotle,ハヤシガメ,Hayashigame,Hayashigame,Chelcarain,Boskara,수풀부기,Supulbugi,Sup'ulbugi,Supulbugi,樹林龜,树林龟,Shùlínguī,Syuhlàhmgwāi,-
389,Torterra,ドダイトス,Dodaitosu,Dodaitose,Chelterrar,Torterra,토대부기,Todaebugi,T'odaebugi,Todaibugi,土台龜,土台龟,Tǔtáiguī,Tóutòihgwāi,-
390,Chimchar,ヒコザル,Hikozaru,Hikozaru,Panflam,Ouisticram,불꽃숭이,Bulkkotsungi,Pulkkotsungi,Bulkotsoongi,小火焰猴,小火焰猴,Xiǎohuǒyànhóu,Síufóyihmhàuh,-
391,Monferno,モウカザル,Mōkazaru,Moukazaru,Panpyro,Chimpenfeu,파이숭이,Paisungi,P'aisungi,Paisoongi,猛火猴,猛火猴,Měnghuǒhóu,Máahngfóhàuh,-
392,Infernape,ゴウカザル,Gōkazaru,Goukazaru,Panferno,Simiabraz,초염몽,Choyeommong,Ch'oyŏmmong,Choyeommong,烈焰猴,烈焰猴,Lièyànhóu,Lihtyihmhàuh,-
393,Piplup,ポッチャマ,Potchama,Pochama,Plinfa,Tiplouf,팽도리,Paengdori,P'aengdori,Pengdori,波加曼,波加曼,Bōjiāmàn,Bōgāmaahn,-
394,Prinplup,ポッタイシ,Pottaishi,Pottaishi,Pliprin,Prinplouf,팽태자,Paengtaeja,P'aengt'aeja,Pengtaiza,波皇子,波皇子,Bōwángzǐ,Bōwòhngjí,-
395,Empoleon,エンペルト,Enperuto,Emperte,Impoleon,Pingoléon,엠페르트,Empereuteu,Emp'erŭt'ŭ,Emperut,帝王拿波,帝王拿波,Dìwángnábō,Daiwòhngnàhbō,-
396,Starly,ムックル,Mukkuru,Mukkuru,Staralili,Étourmi,찌르꼬,Jjireukko,Tchirŭkko,Jjiruko,姆克兒,姆克儿,Mǔkè'ér,Móuhhākyìh,-
397,Staravia,ムクバード,Mukubādo,Mukubird,Staravia,Étourvol,찌르버드,Jjireubeodeu,Tchirŭbŏdŭ,Jjirubird,姆克鳥,姆克鸟,Mǔkèniǎo,Móuhhākníuh,-
398,Staraptor,ムクホーク,Mukuhōku,Mukuhawk,Staraptor,Étouraptor,찌르호크,Jjireuhokeu,Tchirŭhok'ŭ,Jjiruhawk,姆克鷹,姆克鹰,Mǔkèyīng,Móuhhākyīng,-
399,Bidoof,ビッパ,Bippa,Bippa,Bidiza,Keunotor,비버니,Bibeoni,Pibŏni,Bibeoni,大牙狸,大牙狸,Dàyálí,Daaihngàhlèih,-
400,Bibarel,ビーダル,Bīdaru,Beadaru,Bidifas,Castorno,비버통,Bibeotong,Pibŏtong,Bibeotong,大尾狸,大尾狸,Dàwěilí,Daaihméihlèih,-
401,Kricketot,コロボーシ,Korobōshi,Korobohshi,Zirpurze,Crikzik,귀뚤뚜기,Gwittulttugi,Kwittulttugi,Gwittulttugi,圓法師,圆法师,Yuánfǎshī,Yùhnfaatsī,-
402,Kricketune,コロトック,Korotokku,Korotock,Zirpeise,Mélokrik,귀뚤톡크,Gwittultokkeu,Kwittult'okk'ŭ,Gwittultock,音箱蟀,音箱蟀,Yīnxiāngshuài,Yāmsēungsēut,-
403,Shinx,コリンク,Korinku,Kolink,Sheinux,Lixy,꼬링크,Kkoringkeu,Kkoringk'ŭ,Koringku,小貓怪,小猫怪,Xiǎomāoguài,Síumāaugwaai,-
404,Luxio,ルクシオ,Rukushio,Luxio,Luxio,Luxio,럭시오,Reoksio,Rŏksio,Leoksio,勒克貓,勒克猫,Lèkèmāo,Lahkhākmāau,-
405,Luxray,レントラー,Rentorā,Rentorar,Luxtra,Luxray,렌트라,Renteura,Rent'ŭra,Renteura,倫琴貓,伦琴猫,Lúnqínmāo,Lèuhnkàhmmāau,-
406,Budew,スボミー,Subomī,Subomie,Knospi,Rozbouton,꼬몽울,Kkomongul,Kkomongul,Komongul,含羞苞,含羞苞,Hánxiūbāo,Hàhmsāubāau,-
407,Roserade,ロズレイド,Rozureido,Roserade,Roserade,Roserade,로즈레이드,Rojeureideu,Rojŭreidŭ,Rozureid,羅絲雷朵,罗丝雷朵,Luósīléiduǒ,Lòhsīlèuidó,-
408,Cranidos,ズガイドス,Zugaidosu,Zugaidos,Koknodon,Kranidos,두개도스,Dugaedoseu,Tugaedosŭ,Dugaedos,頭蓋龍,头盖龙,Tóugàilóng,Tàuhgoilùhng,-
409,Rampardos,ラムパルド,Ramuparudo,Rampald,Rameidon,Charkos,램펄드,Raempeoldeu,Raemp'ŏldŭ,Ramparld,戰槌龍,战槌龙,Zhànchuílóng,Jinchèuihlùhng,-
410,Shieldon,タテトプス,Tatetopusu,Tatetops,Schilterus,Dinoclier,방패톱스,Bangpaetopseu,Pangp'aet'opsŭ,Bangpaetops,盾甲龍,盾甲龙,Dùnjiǎlóng,Téuhngaaplùhng,-
411,Bastiodon,トリデプス,Toridepusu,Torideps,Bollterus,Bastiodon,바리톱스,Baritopseu,Parit'opsŭ,Baritops,護城龍,护城龙,Hùchénglóng,Wuhsìhnglùhng,-
412,Burmy,ミノムッチ,Minomutchi,Minomucchi,Burmy,Cheniti,도롱충이,Dorongchungi,Torongch'ungi,Dorongchungi,結草兒,结草儿,Jiécǎo'ér,Gitchóuyìh,-
413,Wormadam,ミノマダム,Minomadamu,Minomadam,Burmadame,Cheniselle,도롱마담,Dorongmadam,Torongmadam,Dorongmadam,結草貴婦,结草贵妇,Jiécǎoguìfù,Gitchóugwaifúh,-
414,Mothim,ガーメイル,Gāmeiru,Gamale,Moterpel,Papilord,나메일,Nameil,Nameil,Nameil,紳士蛾,绅士蛾,Shēnshì'é,Sānsíngòh,-
415,Combee,ミツハニー,Mitsuhanī,Mitsuhoney,Wadribie,Apitrini,세꿀버리,Sekkulbeori,Sekkulbŏri,Sekkulbeori,三蜜蜂,三蜜蜂,Sānmìfēng,Sāammahtfūng,-
416,Vespiquen,ビークイン,Bīkuin,Beequen,Honweisel,Apireine,비퀸,Bikwin,Pikwin,Beequein,蜂女王,蜂女王,Fēngnǚwáng,Fūngnéuihwòhng,"蜂后 Fēnghòu (TW/CN)
蜂后 Fūnghauh (HK)"
417,Pachirisu,パチリス,Pachirisu,Pachirisu,Pachirisu,Pachirisu,파치리스,Pachiriseu,P'ach'irisŭ,Pachirisu,帕奇利茲,帕奇利兹,Pàqílìzī,Paakkèileihjī,-
418,Buizel,ブイゼル,Buizeru,Buoysel,Bamelin,Mustébouée,브이젤,Beuijel,Pŭijel,Buijel,泳圈鼬,泳圈鼬,Yǒngquānyòu,Wihnghyūnyauh,"泳氣鼬 / 泳气鼬 Yǒngqìyòu (TW/CN)
泳氣鼬 Wihngheiyauh (HK)"
419,Floatzel,フローゼル,Furōzeru,Floazel,Bojelin,Mustéflott,플로젤,Peullojel,P'ŭllojel,Pulrozel,浮潛鼬,浮潜鼬,Fúqiǎnyòu,Fàuhchìhmyauh,—
420,Cherubi,チェリンボ,Cherinbo,Cherinbo,Kikugi,Ceribou,체리버,Cheribeo,Ch'eribŏ,Cheriber,櫻花寶,樱花宝,Yīnghuābǎo,Yīngfābóu,-
421,Cherrim,チェリム,Cherimu,Cherrim,Kinoso,Ceriflor,체리꼬,Cherikko,Ch'erikko,Cheriko,櫻花兒,樱花儿,Yīnghuā'ér,Yīngfāyìh,-
422,Shellos,カラナクシ,Karanakushi,Karanakushi,Schalellos,Sancoki,깝질무,Kkapjilmu,Kkapchilmu,Kapjilmu,無殼海兔,无壳海兔,"Wúkéhǎitù
Wúqiàohǎitù",Mòuhhokhóitou,"無殼海牛 / 无壳海牛 Wúkéhǎiniú / Wúqiàohǎiniú (TW/CN)
無殼海牛 Mòuhhokhóingàuh (HK)"
423,Gastrodon,トリトドン,Toritodon,Tritodon,Gastrodon,Tritosor,트리토돈,Teuritodon,T'ŭrit'odon,Tritodon,海兔獸,海兔兽,Hǎitùshòu,Hóitousau,"海牛獸 / 海牛兽 Hǎiniúshòu (TW/CN)
海牛兽 Hóingàuhsau (HK)"
424,Ambipom,エテボース,Etebōsu,Eteboth,Ambidiffel,Capidextre,겟핸보숭,Gethaenbosung,Kethaenbosung,Gethainbosung,雙尾怪手,双尾怪手,Shuāngwěiguàishǒu,Sēungméihgwaaisáu,-
425,Drifloon,フワンテ,Fuwante,Fuwante,Driftlon,Baudrive,흔들풍손,Heundeulpungson,Hŭndŭlp'ungson,Hundlpungson,飄飄球,飘飘球,Piāopiāoqiú,Pīupīukàuh,-
426,Drifblim,フワライド,Fuwaraido,Fuwaride,Drifzepeli,Grodrive,둥실라이드,Dungsillaideu,Tungsillaidŭ,Dungsilraid,隨風球,随风球,Suífēngqiú,Chèuihfūngkàuh,"附和氣球 / 附和气球 Fùhèqìqiú (TW/CN)
附和氣球 Fuhwohheikàuh' (HK)"
427,Buneary,ミミロル,Mimiroru,Mimirol,Haspiror,Laporeille,이어롤,Ieorol,Iŏrol,Ieorol,捲捲耳,卷卷耳,Juǎnjuǎn'ěr,Gyúngyún'yíh,-
428,Lopunny,ミミロップ,Mimiroppu,Mimilop,Schlapor,Lockpin,이어롭,Ieorop,Iŏrop,Ieorop,長耳兔,长耳兔,Cháng'ěrtù,Chèuhngyíhtou,-
429,Mismagius,ムウマージ,Mūmāji,Mumargi,Traunmagil,Magirêve,무우마직,Muumajik,Muumajik,Muumajik,夢妖魔,梦妖魔,Mèngyāomó,Muhngyíumō,-
430,Honchkrow,ドンカラス,Donkarasu,Dongkarasu,Kramshef,Corboss,돈크로우,Donkeurou,Tonk'ŭrou,Donkeurou,烏鴉頭頭,乌鸦头头,Wūyātóutóu,Wū'ātàuhtàuh,-
431,Glameow,ニャルマー,Nyarumā,Nyarmar,Charmian,Chaglam,나옹마,Naongma,Naongma,Naongma,魅力喵,魅力喵,Mèilìmiāo,Meihlihkmēu,-
432,Purugly,ブニャット,Bunyatto,Bunyatto,Shnurgarst,Chaffreux,몬냥이,Monnyangi,Monnyangi,Monnyangi,東施喵,东施喵,Dōngshīmiāo,Dūngsīmēu,-
433,Chingling,リーシャン,Rīshan,Lisyan,Klingplim,Korillon,랑딸랑,Rangttallang,Rangttallang,Rangttallang,鈴鐺響,铃铛响,Língdāngxiǎng,Lìhngdōnghéung,"鈴噹響 Língdāngxiǎng (TW)
鈴噹響 Lìhngdōnghéung (HK)"
434,Stunky,スカンプー,Sukanpū,Skunpuu,Skunkapuh,Moufouette,스컹뿡,Seukeongppung,Sŭk'ŏngppung,Skunbbung,臭鼬噗,臭鼬噗,Chòuyòupū,Chauyauhpok,-
435,Skuntank,スカタンク,Sukatanku,Skutank,Skuntank,Moufflair,스컹탱크,Seukeongtaengkeu,Sŭk'ŏngt'aengk'ŭ,Skuntank,坦克臭鼬,坦克臭鼬,Tǎnkèchòuyòu,Táanhākchauyauh,-
436,Bronzor,ドーミラー,Dōmirā,Dohmirror,Bronzel,Archéomire,동미러,Dongmireo,Tongmirŏ,Dongmirror,銅鏡怪,铜镜怪,Tóngjìngguài,Tùhnggenggwaai,-
437,Bronzong,ドータクン,Dōtakun,Dohtakun,Bronzong,Archéodong,동탁군,Dongtakgun,Tongt'akkun,Dongtakgun,青銅鐘,青铜钟,Qīngtóngzhōng,Chīngtùhngjūng,-
438,Bonsly,ウソハチ,Usohachi,Usohachi,Mobai,Manzaï,꼬지지,Kkojiji,Kkojiji,Kkojiji,盆才怪,盆才怪,Péncáiguài,Pùhnchòihgwaai,"愛哭樹 / 爱哭树 Àikūshù (TW/CN)
愛哭樹 Oihūksyuh (HK)"
439,Mime Jr.,マネネ,Manene,Manene,Pantimimi,Mime Jr.,흉내내,Hyungnaenae,Hyungnaenae,Hungnaenae,魔尼尼,魔尼尼,Móníní,Mōnèihnèih,-
440,Happiny,ピンプク,Pinpuku,Pinpuku,Wonneira,Ptiravi,핑복,Pingbok,P'ingbok,Pingbok,小福蛋,小福蛋,Xiǎofúdàn,Síufūkdáan,"好運蛋 / 好运蛋 Hǎoyùndàn (TW/CN)
好運蛋 Hóuwahndáan (HK)"
441,Chatot,ペラップ,Perappu,Perap,Plaudagei,Pijako,페라페,Perape,P'erap'e,Perape,聒噪鳥,聒噪鸟,Guāzàoniǎo,Kutchouníuh,-
442,Spiritomb,ミカルゲ,Mikaruge,Mikaruge,Kryppuk,Spiritomb,화강돌,Hwagangdol,Hwagangdol,Hwagangdol,花岩怪,花岩怪,Huāyánguài,Fā'ngàahmgwaai,-
443,Gible,フカマル,Fukamaru,Fukamaru,Kaumalat,Griknot,딥상어동,Dipsangeodong,Tipsangŏdong,Dipsangeodong,圓陸鯊,圆陆鲨,Yuánlùshā,Yùhnluhksā,-
444,Gabite,ガバイト,Gabaito,Gabite,Knarksel,Carmache,한바이트,Hanbaiteu,Hanbait'ŭ,Hanbite,尖牙陸鯊,尖牙陆鲨,Jiānyálùshā,Jīmngàhluhksā,-
445,Garchomp,ガブリアス,Gaburiasu,Gaburias,Knakrack,Carchacrok,한카리아스,Hankariaseu,Hank'ariasŭ,Hankarias,烈咬陸鯊,烈咬陆鲨,Lièyǎolùshā,Lihtngáauhluhksā,-
446,Munchlax,ゴンベ,Gonbe,Gonbe,Mampfaxo,Goinfrex,먹고자,Meokgoja,Mŏkkoja,Moukgoja,小卡比獸,小卡比兽,Xiǎokǎbǐshòu,Síukābéisau,-
447,Riolu,リオル,Rioru,Riolu,Riolu,Riolu,리오르,Rioreu,Riorŭ,Riolu,利歐路,利欧路,Lì'ōulù,Leih'āulouh,利奧路 Leih'oulouh (HK)
448,Lucario,ルカリオ,Rukario,Lucario,Lucario,Lucario,루카리오,Rukario,Ruk'ario,Lucario,路卡利歐,路卡利欧,Lùkǎlì'ōu,Louhkāleih'āu,路卡利奧 Louhkāleih'ou (HK)
449,Hippopotas,ヒポポタス,Hipopotasu,Hippopotas,Hippopotas,Hippopotas,히포포타스,Hipopotaseu,Hip'op'ot'asŭ,Hipopotaseu,沙河馬,沙河马,Shāhémǎ,Sāhòhmáh,"怪河馬 / 怪河马 Guàihémǎ (TW/CN)
怪河馬 Gwaaihòhmáh (HK)"
450,Hippowdon,カバルドン,Kabarudon,Kabaldon,Hippoterus,Hippodocus,하마돈,Hamadon,Hamadon,Hamadon,河馬獸,河马兽,Hémǎshòu,Hòhmáhsau,-
451,Skorupi,スコルピ,Sukorupi,Scorupi,Pionskora,Rapion,스콜피,Seukolpi,Sŭk'olp'i,Skorupi,鉗尾蠍,钳尾蝎,Qiánwěixiē,Kìhmméihkit,"紫天蠍 / 紫天蝎 Zǐtiānxiē (TW/CN)
紫天蠍 Jítīnkit (HK)"
452,Drapion,ドラピオン,Dorapion,Dorapion,Piondragi,Drascore,드래피온,Deuraepion,Tŭraep'ion,Drapion,龍王蠍,龙王蝎,Lóngwángxiē,Lùhngwòhngkit,-
453,Croagunk,グレッグル,Guregguru,Gureggru,Glibunkel,Cradopaud,삐딱구리,Ppittakguri,Ppittakkuri,Pitakguri,不良蛙,不良蛙,Bùliángwā,Bātlèuhngwā,-
454,Toxicroak,ドクロッグ,Dokuroggu,Dokurog,Toxiquak,Coatox,독개굴,Dokgaegul,Tokkaegul,Dokgaegul,毒骷蛙,毒骷蛙,Dúkūwā,Duhkfūwā,-
455,Carnivine,マスキッパ,Masukippa,Muskippa,Venuflibis,Vortente,무스틈니,Museuteumni,Musŭt'ŭmni,Museuteumni,尖牙籠,尖牙笼,Jiānyálóng,Jīmngàhlùhng,-
456,Finneon,ケイコウオ,Keiko'uo,Keikouo,Finneon,Écayon,형광어,Hyeonggwangeo,Hyŏnggwangŏ,Hyeonggwangeo,螢光魚,荧光鱼,Yíngguāngyú,Yìhnggwōngyú,萤光鱼 Yíngguāngyú (CN)
457,Lumineon,ネオラント,Neoranto,Neolant,Lumineon,Luminéon,네오라이트,Neoraiteu,Neorait'ŭ,Neolite,霓虹魚,霓虹鱼,Níhóngyú,Ngàihhùhng'yú,-
458,Mantyke,タマンタ,Tamanta,Tamanta,Mantirps,Babimanta,타만타,Tamanta,T'amant'a,Tamanta,小球飛魚,小球飞鱼,Xiǎoqiúfēiyú,Síukàuhfēiyù,-
459,Snover,ユキカブリ,Yukikaburi,Yukikaburi,Shnebedeck,Blizzi,눈쓰개,Nunsseugae,Nunssŭgae,Nunsseugae,雪笠怪,雪笠怪,Xuělìguài,Syutlāpgwaai,-
460,Abomasnow,ユキノオー,Yukinoō,Yukinooh,Rexblisar,Blizzaroi,눈설왕,Nunseorwang,Nunsŏrwang,Nunseolwang,暴雪王,暴雪王,Bàoxuěwáng,Bouhsyutwòhng,-
461,Weavile,マニューラ,Manyūra,Manyula,Snibunna,Dimoret,포푸니라,Popunira,P'op'unira,Popunira,瑪狃拉,玛狃拉,Mǎniǔlā,Máhnáulāai,-
462,Magnezone,ジバコイル,Jibakoiru,Jibacoil,Magnezone,Magnézone,자포코일,Japokoil,Chap'ok'oil,Zapokoil,自爆磁怪,自爆磁怪,Zìbàocíguài,Jihbaauchìhgwaai,-
463,Lickilicky,ベロベルト,Beroberuto,Berobelt,Schlurplek,Coudlangue,내룸벨트,Naerumbelteu,Naerumbelt'ŭ,Naerumbelt,大舌舔,大舌舔,Dàshétiǎn,Daaisittím,-
464,Rhyperior,ドサイドン,Dosaidon,Dosidon,Rihornior,Rhinastoc,거대코뿌리,Geodaekoppuri,Kŏdaek'oppuri,Geodaekopuri,超甲狂犀,超甲狂犀,Chāojiǎkuángxī,Chīugaapkwòhngsāi,"超鐵暴龍 / 超铁暴龙 Chāotiěbàolóng (TW/CN)
超鐵暴龍 Chīutitbouhlùhng (HK)"
465,Tangrowth,モジャンボ,Mojanbo,Mojumbo,Tangoloss,Bouldeneu,덩쿠림보,Deongkurimbo,Tŏngk'urimbo,Deongkurimbo,巨蔓藤,巨蔓藤,Jùmànténg,Geuihmaahntàhng,-
466,Electivire,エレキブル,Erekiburu,Elekible,Elevoltek,Élekable,에레키블,Erekibeul,Erek'ibŭl,Elekible,電擊魔獸,电击魔兽,"Diànjímóshòu
Diànjīmóshòu",Dihngīkmōsau,-
467,Magmortar,ブーバーン,Būbān,Booburn,Magbrant,Maganon,마그마번,Mageumabeon,Mageumabŏn,Magmaburn,鴨嘴炎獸,鸭嘴炎兽,Yāzuǐyánshòu,Aapjéuiyìhmsau,"鴨嘴焰龍 / 鸭嘴焰龙 Yāzuǐyànlóng (TW/CN)
鴨嘴焰龍 Aapjéuiyihmlùhng (HK)"
468,Togekiss,トゲキッス,Togekissu,Togekiss,Togekiss,Togekiss,토게키스,Togekiseu,T'ogek'isŭ,Togekiss,波克基斯,波克基斯,Bōkèjīsī,Bōhākgēisī,-
469,Yanmega,メガヤンマ,Megayanma,Megayanma,Yanmega,Yanméga,메가자리,Megajari,Megajari,Megajari,遠古巨蜓,远古巨蜓,Yuǎngǔjùtíng,Yúhngúgeuihtìhng,"梅卡陽瑪 / 梅卡阳玛 Méikǎyángmǎ (TW/CN)
梅卡陽瑪 Mùihkāyèuhngmáh (HK)"
470,Leafeon,リーフィア,Rīfia,Leafia,Folipurba,Phyllali,리피아,Ripia,Rip'ia,Lipia,葉伊布,叶伊布,Yèyībù,Yihpyìhbou,"葉精靈 / 叶精灵 Yèjīnglíng (TW/CN)
葉伊貝 Yihpyìhbui (HK)"
471,Glaceon,グレイシア,Gureishia,Glacia,Glaziola,Givrali,글레이시아,Geulleisia,Kŭlleisia,Geulleisia,冰伊布,冰伊布,Bīngyībù,Bīngyìhbou,"冰精靈 / 冰精灵 Bīngjīnglíng (TW/CN)
冰伊貝 Bīngyìhbui (HK)"
472,Gliscor,グライオン,Guraion,Glion,Skorgro,Scorvol,글라이온,Geullaion,Kŭllaion,Glion,天蠍王,天蝎王,Tiānxiēwáng,Tīnkitwòhng,-
473,Mamoswine,マンムー,Manmū,Mammoo,Mamutel,Mammochon,맘모꾸리,Mammokkuri,Mammokkuri,Mammokkuri,象牙豬,象牙猪,Xiàngyázhū,Jeuhngngàhjyū,-
474,Porygon-Z,ポリゴンＺ,Porigon Zetto,Porygon-Z,Porygon-Z,Porygon-Z,폴리곤Z,Polligonjeteu,P'olligonjet'ŭ,PorygonZ,多邊獸Ｚ,多边兽Ｚ,Duōbiānshòu-Z,Dōbīnsau-Z,"3D龍Z / 3D龙Z 3D-Lóng Z (TW/CN)
立方獸Z Laahpfōngsau-Z (HK)"
475,Gallade,エルレイド,Erureido,Erureido,Galagladi,Gallame,엘레이드,Elleideu,Elleidŭ,Ellade,艾路雷朵,艾路雷朵,Àilùléiduǒ,Ngaaihlouhlèuidó,-
476,Probopass,ダイノーズ,Dainōzu,Dainose,Voluminas,Tarinorme,대코파스,Daekopaseu,Taek'op'asŭ,Daekopas,大朝北鼻,大朝北鼻,Dàcháoběibí,Daaichìuhbākbeih,-
477,Dusknoir,ヨノワール,Yonowāru,Yonoir,Zwirrfinst,Noctunoir,야느와르몽,Yaneuwareumong,Yanŭwarŭmong,Yaneuwareumong,黑夜魔靈,黑夜魔灵,Hēiyèmólíng,Hākyehmōlìhng,"夜黑魔人 Yèhēimórén (TW/CN)
夜黑魔人 Yehhākmōyàhn (HK)"
478,Froslass,ユキメノコ,Yukimenoko,Yukimenoko,Frosdedje,Momartik,눈여아,Nunnyeoa,Nunnyŏa,Nunyeoa,雪妖女,雪妖女,Xuěyāonǚ,Syutyíunéuih,-
479,Rotom,ロトム,Rotomu,Rotom,Rotom,Motisma,로토무,Rotomu,Rot'omu,Rotomu,洛托姆,洛托姆,Luòtuōmǔ,Loktokmóuh,-
480,Uxie,ユクシー,Yukushī,Yuxie,Selfe,Créhelf,유크시,Yukeusi,Yuk'ŭsi,Yuxie,由克希,由克希,Yóukèxī,Yàuhhākhēi,-
481,Mesprit,エムリット,Emuritto,Emrit,Vesprit,Créfollet,엠라이트,Emnaiteu,Emnait'ŭ,Emrite,艾姆利多,艾姆利多,Àimǔlìduō,Ngaaihmóuhleihdō,-
482,Azelf,アグノム,Agunomu,Agnome,Tobutz,Créfadet,아그놈,Ageunom,Agŭnom,Agnome,亞克諾姆,亚克诺姆,"Yǎkènuòmǔ
Yàkènuòmǔ",Ahāknohkmóuh,-
483,Dialga,ディアルガ,Diaruga,Dialga,Dialga,Dialga,디아루가,Diaruga,Tiaruga,Dialga,帝牙盧卡,帝牙卢卡,Dìyálúkǎ,Daingàhlòuhkā,-
484,Palkia,パルキア,Parukia,Palkia,Palkia,Palkia,펄기아,Peolgia,P'ŏlgia,Palkia,帕路奇亞,帕路奇亚,"Pàlùqíyǎ
Pàlùqíyà",Paaklouhkèi'a,"帕路奇犽 Pàlùqíyá (TW/CN)
帕路奇犽 Paaklouhkèingàh (HK)"
485,Heatran,ヒードラン,Hīdoran,Heatran,Heatran,Heatran,히드런,Hideureon,Hidŭrŏn,Heatran,席多藍恩,席多蓝恩,Xíduōlán'ēn,Jihkdōlàahm'yān,-
486,Regigigas,レジギガス,Rejigigasu,Regigigas,Regigigas,Regigigas,레지기가스,Rejigigaseu,Rejigigasŭ,Regigigas,雷吉奇卡斯,雷吉奇卡斯,Léijíqíkǎsī,Lèuihgātkèikāsī,-
487,Giratina,ギラティナ,Giratina,Giratina,Giratina,Giratina,기라티나,Giratina,Kirat'ina,Giratina,騎拉帝納,骑拉帝纳,Qílādìnà,Kèihlāaidainaahp,-
488,Cresselia,クレセリア,Kureseria,Cresselia,Cresselia,Cresselia,크레세리아,Keureseria,K'ŭreseria,Cresselia,克雷色利亞,克雷色利亚,"Kèléisèlìyǎ
Kèléisèlìyà",Hāklèuihsīkleih'a,-
489,Phione,フィオネ,Fione,Phione,Phione,Phione,피오네,Pione,P'ione,Phione,霏歐納,霏欧纳,Fēi'ōunà,Fēi'āunaahp,-
490,Manaphy,マナフィ,Manafi,Manaphy,Manaphy,Manaphy,마나피,Manapi,Manap'i,Manaphy,瑪納霏,玛纳霏,Mǎnàfēi,Máhnaahpfēi,-
491,Darkrai,ダークライ,Dākurai,Darkrai,Darkrai,Darkrai,다크라이,Dakeurai,Tak'ŭrai,Darkrai,達克萊伊,达克莱伊,Dákèláiyī,Daahthāklòihyī,-
492,Shaymin,シェイミ,Sheimi,Shaymin,Shaymin,Shaymin,쉐이미,Sweimi,Sweimi,Shaymin,謝米,谢米,Xièmǐ,Jehmáih,"潔咪 / 洁咪 Jiémī (TW/CN)
潔咪 Gitmī (HK)"
