Name,Gen,Description,English,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
Relic Copper,V,Can be sold for 1000 to the villa owner in Undella Town.,Acro Bike,ダートじてんしゃ,Dirt Jitensha,Vélo Cross,Kunstrad,Bici da cross*,Bici Acrobática,더트자전거,Dirt Jajeongeo,越野自行車 / 越野自行车,Yuèyě Zìxíngchē / Yuhtyéh Jihhàhngchē
Relic Crown,V,Can be sold for 300000 to the villa owner in Undella Town.,Wailmer Pail,ホエルコじょうろ,Hoeruko Jōro,Wailmerrosoir*,Wailmerkanne,Vaso Wailmer,Wailmegadera*,고래왕자물뿌리개,Goraewangja Mulppurigae,吼吼鯨噴壺 / 吼吼鲸喷壶,Hǒuhǒujīng Pēnhú / Hāauhāaukìhng Panwùh
Relic Gold,V,Can be sold for 10000 to the villa owner in Undella Town.,Devon Parts*,デボンのにもつ,Devon no Nimotsu,Pack Devon,Devon-Waren,Merce Devon,Piezas Devon,데봉화물,Devon Hwamul,得文的物品,Déwén-de Wùpǐn / Dākmàhn-dīk Mahtbán
Relic Silver,V,Can be sold for 5000 to the villa owner in Undella Town.,Soot Sack,はいぶくろ,Hai Bukuro,Sac à Suie,Aschetasche,Sacco Cenere,Saco hollín,검댕자루,Geomdaeng Jaru,集灰袋,Jíhuī Dài / Jaahpfūi Doih
Relic Statue,V,Can be sold for 200000 to the villa owner in Undella Town.,Basement Key,ちかのカギ,Chika no Kagi,Clé Sous-Sol,Kelleröffner,Chiave sotterr.,Llave del Sótano*,지하열쇠*,Jiha Yeolsoe*,地下鑰匙 / 地下钥匙,Dìxià Yàoshi / Deihhah Yeuhksìh
Relic Vase,V,Can be sold for 50000 to the villa owner in Undella Town.,Pokéblock Case,ポロックケース,Polock Case,Boite Pokéblocs,Pokériegel Box,Porta Pokémelle,Tubo PokéCubos,포켓몬스넥케이스,Pokémon Snack Case,寶可方塊盒 / 宝可方块盒,Bǎokě Fāngkuài Hé / Bóuhó Fōngfaai Hahp
Repeat Ball,III,A type of Poké Ball that works better on Pokémon already caught before.,Letter,ダイゴへのてがみ,Daigo e no Tsugami,Lettre à Pierre*,Brief an Troy*,Lettera,Carta a Máximo*,성호에게줄편지,Seongho-e Gejul Pyeonji,給大吾的信 / 给大吾的信,Gěi Dàwú-de Xìn / Kāp Daaihǹgh-dīk Seun
Repel,I,Prevents wild Pokémon with a lower level than the first member of the party from appearing for 100 steps,Eon Ticket,むげんのチケット,Mugen no Ticket,Passe Éon,Äon-Ticket,Biglietto Eone,Ticket Eón,무한티켓,Muhan Ticket,無限船票 / 无限船票,Wúxiàn Chuánpiào / Mòuhhaahn Syùhnpiu
Reply Mail,V,Stationary for writing a reply. To be held by a Pokémon for delivery.,Scanner,たんちき,Tanchiki,Scanner,Scanner,Scanner,Escáner,탐지기,Tamjigi,探測器 / 探测器,Tàncèqì / Taamchākhei
Reset Urge,V,Eliminates stat changes from an ally Pokémon. Wonder Launcher only.,Go-Goggles,ゴーゴーゴーグル,Go Go Goggle,Lunettes Sable,Wüstenglas,Occhialoni,Gafas Aislantes,고고고글,Go-Go Goggle,ＧＯＧＯ護目鏡 / ＧＯＧＯ护目镜,GOGO Hù Mùjìng / GOGO Wuh Muhkgeng
Resist Wing,V,Raises the Defense of a Pokémon.,Meteorite,いんせき,Inseki,Météorite,Meteorit,Meteorite,Meteorito,운석,Unseok,隕石 / 陨石,Yǔnshí / Wáhnsehk
Retro Mail,III,Mail with a picture of the three Kanto Starter Pokémon.,Key to Room 1*,いちごうしつのカギ*,Ichi-gō Shitsu no Kagi,Clé Salle 1,R1-Schlüssel*,Chiave stanza 1,Ll. Habitación 1*,일호실열쇠,Il-hosil Yeolsoe,"１號客房的鑰匙 /
１号客房的钥匙",1 Hào Kèfáng-de Yàoshi / 1 Houh Haakfóng-dīk Yeuhksìh
Reveal Glass,V,A glass that tells the truth. It is a mysterious glass that returns a Pokémon back to its original shape.,Key to Room 2*,にごうしつのカギ*,Ni-gō Shitsu no Kagi,Clé Salle 2,R2-Schlüssel*,Chiave stanza 2,Ll. Habitación 2*,이호실열쇠,I-hosil Yeolsoe,"２號客房的鑰匙 /
２号客房的钥匙",2 Hào Kèfáng-de Yàoshi / 2 Houh Haakfóng-dīk Yeuhksìh
Revival Herb,II,"Revives a Pokémon to full HP, but lowers friendship.",Key to Room 4*,よんごうしつのカギ*,Yon-gō Shitsu no Kagi,Clé Salle 4,R4-Schlüssel*,Chiave stanza 4,Ll. Habitación 4*,사호실열쇠,Sa-hosil Yeolsoe,"４號客房的鑰匙 /
４号客房的钥匙",4 Hào Kèfáng-de Yàoshi / 4 Houh Haakfóng-dīk Yeuhksìh
Revive,I,Revives a Pokémon to half of maximum HP.,Key to Room 6*,ろくごうしつのカギ*,Roku-gō Shitsu no Kagi,Clé Salle 6,R6-Schlüssel*,Chiave stanza 6,Ll. Habitación 6*,육호실열쇠,Yuk-hosil Yeolsoe,"６號客房的鑰匙 /
６号客房的钥匙",6 Hào Kèfáng-de Yàoshi / 6 Houh Haakfóng-dīk Yeuhksìh
Rich Mulch,VI,"When applied to a Berry patch, increases the final Berry harvest by 2 Berries.",Storage Key,そうこのカギ,Sōko no Kagi,Clé Stockage,Lagerschlüssel,Chiave magazzino*,Llave Almacén,창고열쇠,Changgo Yeolsoe,倉庫鑰匙 / 仓库钥匙,Cāngkù Yàoshi / Chōngfu Yeuhksìh
Ride Pager,VII,"By entering certain numbers on this pager, you can summon Ride Pokémon in an instant.",Devon Scope,デボンスコープ,Devon Scope,Devon Scope,Devon-Scope,Devonscopio,Detector Devon,데봉스코프,Devon Scope,得文偵測鏡 / 得文侦测镜,Déwén Zhēncèjìng / Dākmàhn Jīngchākgeng
Rindo Berry,IV,Reduces damage from a super effective Grass-type move.,Vs. Seeker,バトルサーチャー,Battle Searcher,Cherche VS,Kampffahnder,Cercasfide,Buscapelea,배틀서처,Battle Searcher,對戰搜尋器 / 对战搜寻器,Duìzhàn Sōuxún Qì / Deuijin Sāuchàhm Hei
Ring Target,V,The holder loses its type immunities.,Fame Checker,ボイスチェッカー,Voice Checker,Memorydex,Ruhmesdatei,PokéVIP,Memorín,—,—,—,—
Rock Gem,V,"Increases the power of the holder's first Rock-type move by 50%, and is consumed after use.",TM Case,わざマシンケース,Waza Machine Case,Boite CT,VM/TM Box,Porta MT-MN,Tubo MT-MO,기술머신케이스,Gisul Machine Case,招式學習器盒 / 招式学习器盒,Zhāoshì Xuéxíqì Hé / Jīusīk Hohkjaahphei Hahp
Rock Incense,IV,Raises the power of Rock-type moves. A Sudowoodo holding this can breed to produce Bonsly Eggs.,Berry Pouch,きのみぶくろ,Kinomi Bukuro,Sac A Baies,Beerentüte,Porta Bacche,Saco Bayas,—,—,—,—
Rock Memory,VII,Makes Silvally a Rock-type Pokémon and makes Multi-Attack a Rock-type move.,Teachy TV,おしえテレビ,Oshie Televi,TV ABC,Lehrkanal,Poké TV,Poké Tele,가르침TV,Gareuchim TV,—,—
Rockium Z,VII,Allows a Pokémon to upgrade their Rock-type damaging moves to the Z-Move Continental Crush or upgrade their Rock-type status moves into Z-Moves. Makes Arceus a Rock-type Pokémon.,Tri-Pass,トライパス,Tri Pass,Tri-Pass,Tri-Pass,Tri-Pass,Tri-Ticket,—,—,—,—
Rocky Helmet,V,Any contact moves against the holder will deal 1/6 damage to the attacker.,Rainbow Pass,レインボーパス,Rainbow Pass,Passe Prisme,Bunt-Pass,Sette Pass,Iris-Ticket,—,—,—,—
Roller Skates,VI,Allows the player to glide around and perform tricks.,Tea,おちゃ,Ocha,The,Tee,Tè,Té,차,Cha,茶,Chá / Chàh
Root Fossil,III,A Fossil from which a Lileep can be resurrected.,MysticTicket,しんぴのチケット,Shinpi no Ticket,Ticketmystik,Geheimticket,Biglietto Magico,Misti-Ticket,—,—,—,—
Rose Incense,IV,Raises the power of Grass-type moves. Roselia and Roserade holding this can breed Budew.,AuroraTicket,オーロラチケット,Aurora Ticket,Ticketaurora,Auroraticket,Biglietto Aurora,Ori-Ticket,—,—,—,—
Roseli Berry,VI,Reduces damage from a super effective Fairy-type move.,Powder Jar,こないれ,Konaire,Pot Poudre,Puderdöschen,Portafarina,Bote Polvos,—,—,—,—
Rowap Berry,IV,"If a foe's special move lands, then the foe also takes damage.",Ruby,ルビー,Ruby,Rubis,Rubin,Rubino,Rubí,—,—,—,—
RSVP Mail,V,Stationary designed for invitations. To be held by a Pokémon for delivery.,Sapphire,サファイア,Sapphire,Saphir,Saphir,Zaffiro,Zafiro,—,—,—,—
Ruby,III,"Give to Celio along with Sapphire to set up the Network Machine of the Pokémon Network Center. It allows the player to trade with Ruby, Sapphire, and Emerald.",Magma Emblem,マグマのしるし,Magma no Shirushi,Emblème Magma,Magmaemblem,Stemma Magma,Signo Magma,—,—,—,—
Running Shoes*,III,Allows the player to run faster.,Old Sea Map,ふるびたかいず,Furubita Kaizu,Vieille Carte,Alte Karte,Mappa Stinta,Mapa Viejo,—,—,—,—
,,,Jail Key,ろうやのカギ,Rōya no Kagi,Cle de la Prison,Zellenschlüssel,Chiave Celle,Llave Celdas,—,—,—,—
,,,Elevator Key,エレベーターキー,Elevator Key,Cle Ascens.*,Liftkarte*,Chiave Asc.,Ll. Ascensor,—,—,—,—
S.S. Ticket,I,"Allows the player to board the S.S. AnneRBYFRLG, S.S. AquaGSCHGSS, or S.S TidalRSEORAS",Small Tablet,ちいさなせきばん,Chīsa na Sekiban,Ardoise,Steintafel,Tavola,Tablilla,—,—,—,—
Sablenite,VI,Allows Sableye to Mega Evolve into Mega Sableye.,F-Disk,Ｆ－ディスク,F-Disk,Disque-A,V-Disc,Disco Avanti,Disco A,—,—,—,—
Sacred Ash,II,Revives all fainted Pokémon in the party to full HP.,R-Disk,Ｒ－ディスク,R-Disk,Disque-D,R-Disc,Disco Dx,Disco D,—,—,—,—
Safari Ball,I,A type of Poké Ball to be used in the Safari Zone.,L-Disk,Ｌ－ディスク,L-Disk,Disque-G,L-Disc,Disco Sx,Disco I,—,—,—,—
Safety Goggles,VI,Grants the holder immunity to weather-related damage and powder moves.,D-Disk,Ｄ－ディスク,D-Disk,Disque-B,U-Disc,Disco Giù,Disco B,—,—,—,—
Sail Fossil,VI,A Fossil from which an Amaura can be resurrected.,U-Disk,Ｕ－ディスク,U-Disk,Disque-H,O-Disc,Disco Su,Disco S,—,—,—,—
Salac Berry,III,Raises Speed when HP is below ⅓ of maximum.,Subway Key,ちかてつのカギ,Chikatetsu no Kagi,Cle de Contact,Zugschlüssel,Chiave Metro,Llave Metro,—,—,—,—
Salamencite,VI,Allows Salamence to Mega Evolve into Mega Salamence.,Maingate Key,メインゲートキー,Main Gate Key,Cle Labo,Torschlüssel,Chiave Canc.,Ll. Entrada,—,—,—,—
Sapphire,III,"To be given to Celio along with Ruby to set up the Network Machine of the Pokémon Network Center, allowing the player to trade with Ruby, Sapphire, and Emerald.",Card Key,カードキー,Card Key,Cle Magnetique,Schlüsselkarte,Apriporta,T. Magnética,—,—,—,—
Sachet,VI,Allows Spritzee to evolve when traded.,Down St. Key,ちかつうろのカギ,Chikatsūro no Kagi,Cle du Sous-Sol,Ug-Schlüssel,Chiave Sott.,Llave Sótano,—,—,—,—
Scanner,III,To be exchanged for a Deep Sea Scale or Deep Sea Tooth.,DNA Sample,ＤＮＡサンプル,DNA Sample,Echantillon ADN,DNS-Probe,Campione DNA,Muestra ADN,—,—,—,—
Sceptilite,VI,Allows Sceptile to Mega Evolve into Mega Sceptile.,Data ROM,データロム,Data ROM,Disque-ROM,CD-ROM,CD ROM*,Disquete,—,—,—,—
Scizorite,VI,Allows Scizor to Mega Evolve into Mega Scizor.,Steel Teeth,はがねのいれば,Hagane no Ireba,Dentier d'Acier,Zahnprothese,Dentacciaio,Dentadura,—,—,—,—
Scope Lens,III,Raises chances of getting a critical hit.,Gear,はぐるま,Haguruma,Roue Dentee,Zahnrad,Ingranaggio,Rueda,—,—,—,—
Sea Incense,III,Raises the power of Water-type moves. A Marill or Azumarill holding this can breed to produce Azurill Eggs.,Red ID Badge,ＩＤバッジあか,ID Badge Aka,Passe Rouge,Rote ID-Marke,Pass Rosso,Pase Rojo,—,—,—,—
Seal Case,IV,Holds Seals.,Grn ID Badge,ＩＤバッジみどり,ID Badge Midori,Passe Vert,Grüne ID-Marke,Pass Verde,Pase Verde,—,—,—,—
Secret Key,I,Allows access to the Cinnabar Gym.,Blu ID Badge,ＩＤバッジあお,ID Badge Ao,Passe Bleu,Blaue ID-Marke,Pass Blu,Pase Azul,—,—,—,—
Secret Key,IV,Allows access to the secret room within the Galactic Veilstone Building.,Ylw ID Badge,ＩＤバッジきいろ,ID Badge Kīro,Passe Jaune,Gelbe ID-Marke,Pass Giallo,P. Amarillo,—,—,—,—
Secret Potion,II,"Used to cure Amphy's sicknessGSCHGSS or the Psyduck's headachesDPPt. Is produced by the Cianwood City Pharmacy.
Note: Formatted as SecretPotion prior to Generation VI.",Ein File S,ボルグファイルＤ,Borg File D,Dossier Teck O,Culpa-Akte C-P,Genus.File O,Parte Ein: O,—,—,—,—
Shadow Mail,III,Mail with a picture of Duskull. To be held by a Pokémon for delivery.,Ein File H,ボルグファイルＨ,Borg File H,Dossier Teck H,Culpa-Akte F-M,Genus.File I,Parte Ein: H,—,—,—,—
Shalour Sable,VI,Cures any status condition.,Ein File C,ボルグファイルＣ,Borg File C,Dossier Teck C,Culpa-Akte C,Genus.File C,Parte Ein: C,—,—,—,—
Sharp Beak,II,Raises the power of Flying-type moves.,Ein File P,ボルグファイルＲ,Borg File R,Dossier Teck P,Culpa-Akte C-E,Genus.File P,Parte Ein: P,—,—,—,—
Sharpedonite,VI,Allows Sharpedo to Mega Evolve into Mega Sharpedo.,Cologne Case,コロンケース,Cologne Case,Boite a Parfums,Essenz-Kiste,Portaolio,Caja Aromas,—,—,—,—
Shed Shell,IV,Allows the holder to escape from battle.,Powerup Part,きょうかパーツ,Kyōka Parts,Amplificateur,Ersatzteil,Espansione,Potenciador,—,—,—,—
Shell Bell,III,Restores HP to the holder based on damage inflicted to the opponent.,Ein File F,ボルグファイルＦ,Borg File F,Dossier Teck F,Culpa-Akte A-B,Genus.File F,Parte Ein: F,—,—,—,—
Shiny Charm,V,A shiny charm said to increase the chance of finding a Shiny Pokémon.,Machine Part,マシンパーツ,Machine Part,Piece Meca.,Ersatzteil,Meccanismo,Pieza Esp.,—,—,—,—
Shiny Leaf*,IV,Note: Can only be held by Pokémon and found on certain tiles in certain areas by checking the Pokémon that follows the player. No guarantee that the player can find it even in the right place.,ID Card,ＩＤカード,ID Card,Badge,ID-Karte,Tessera,Tarjeta ID,—,—,—,—
Shiny Stone,IV,"Can be used to evolve Togetic, Roselia, Minccino, and Floette.",Music Disc,おんがくソフト,Ongaku Soft,CD Musique,Musik-CD,CD Musicale,Disco Música,—,—,—,—
Shoal Salt,III,Can be used to make a Shell Bell. Does not have any use in Generation IV. Can be sold to an item maniac in the Icirrus City Pokémon Center for 7000 in Generation V.,Krane Memo 1,クレインメモ１,Krane Memo 1,Memo Syrus 1,Klein-Memo 1,Appunti 1,Parte Cío 1,—,—,—,—
Shoal Shell,III,Can be used to make a Shell Bell. Does not have any use in Generation IV. Can be sold to an item maniac in Route 5 for 7000 in Generation V.,Krane Memo 2,クレインメモ２,Krane Memo 2,Memo Syrus 2,Klein-Memo 2,Appunti 2,Parte Cío 2,—,—,—,—
Shock Drive,V,Makes Techno Blast an Electric-type move when held by Genesect.,System Lever,かいじょレバー,Kaijo Lever,Levier,Systemhebel,Leva,Palanca,—,—,—,—
Shuca Berry,IV,Reduces damage taken from a super effective Ground-type move.,Sun Shard,たいようのかけら,Taiyō no Kakera,Eclat Soleil,Sonnsplitter,Coccio Solare,Ápice Sol,—,—,—,—
Silk Scarf,III,Raises the power of Normal-type moves.,Moon Shard,つきのかけら,Tsuki no Kakera,Eclat Lune,Mondsplitter,Coccio Lunare,Ápice Luna,—,—,—,—
Silph Scope,I,Used to identify ghosts in Pokémon Tower.,Disc Case,ディスクケース,Disc Case,Boite Holog.,CD-Box,Porta-CD,Caja Discos,—,—,—,—
Silver Leaf,II,May be held by a Pokémon transferred from Generation I.,Krane Memo 3,クレインメモ３,Krane Memo 3,Memo Syrus 3,Klein-Memo 3,Appunti 3,Parte Cío 3,—,—,—,—
Silver Powder,II,"Raises the power of Bug-type moves.
Note: Formatted as SilverPowder prior to Generation VI.",Krane Memo 4,クレインメモ４,Krane Memo 4,Memo Syrus 4,Klein-Memo 4,Appunti 4,Parte Cío 4,—,—,—,—
Silver Wing,II,Summons Lugia.,Krane Memo 5,クレインメモ５,Krane Memo 5,Memo Syrus 5,Klein-Memo 5,Appunti 5,Parte Cío 5,—,—,—,—
Sitrus Berry,III,Restores 30 HP in Generation III. Restores ¼ of maximum HP from Generation IV onwards.,Mayor's Note,しちょうのてがみ,Shichō no Tegami,Lettre Maire,Zettel,Nota Sindaco,Nota Alcalde,—,—,—,—
Skull Fossil,IV,A Fossil from which a Cranidos can be resurrected.,Gonzap's Key,ゴンザのカギ,Gonza no Key,Cle Helgonza,Schlüssel,Chiave Helg.,Llave Golka,—,—,—,—
Sky Plate,IV,Raises the power of Flying-type moves.,Miror Radar,ミラーボレーダー,Mirorbo Radar,Radar Disco,Queen-Radar,Discoradar,Radar Discal,—,—,—,—
Slowbronite,VI,Allows Slowbro to Mega Evolve into Mega Slowbro.,Bonsly Card,ウソハチシート,Usohachi Sheet,Carte Manzai,Mobai-Karte,Scheda Bonsly,Cart. Bonsly,—,—,—,—
Slowpoke Tail,II,"Can be sold for 4900.
Note: Formatted as SlowpokeTail prior to Generation VI.",Bonsly Photo,ウソハチ・フォト,Usohachi Photo,Photo Manzai,Mobai-Foto,Foto Bonsly,Foto Bonsly,—,—,—,—
Small Tablet,III,Used to activate the Relic Stone.,Voice Case 1,こえカプセル１,Koe Capsule 1,Boite Cri 1,Stimmbox 1,Disco Verso 1,Grabación 1,—,—,—,—
Smoke Ball,III,A held item that allows the user to flee from any wild Pokémon battle. Can be used an unlimited number of times.,Voice Case 2,こえカプセル２,Koe Capsule 2,Boite Cri 2,Stimmbox 2,Disco Verso 2,Grabación 2,—,—,—,—
Smooth Rock,IV,Extends the duration of sandstorms.,Voice Case 3,こえカプセル３,Koe Capsule 3,Boite Cri 3,Stimmbox 3,Disco Verso 3,Grabación 3,—,—,—,—
Snorlium Z,VII,Allows Snorlax to upgrade Giga Impact to the special Z-Move Pulverizing Pancake.,Voice Case 4,こえカプセル４,Koe Capsule 4,Boite Cri 4,Stimmbox 4,Disco Verso 4,Grabación 4,—,—,—,—
Snowball,VI,Raises the holder's Attack by one stage after being hit by an Ice-type attack. Consumed after use.,Voice Case 5,こえカプセル５,Koe Capsule 5,Boite Cri 5,Stimmbox 5,Disco Verso 5,Grabación 5,—,—,—,—
Snow Mail,IV,Mail with a snow print. To be held by a Pokémon for delivery.,Cry Analyzer,かいどくそうち,Kaidoku Sōchi,Decodeur Cri,Stimmkenner,Analiz.Verso,Gritolector,—,—,—,—
Soda Pop,I,Restores 50 HP. (60HP before Gen. VII).,,,,,,,,,,,
Soft Sand,II,Raises the power of Ground-type moves.,Explorer Kit,たんけんセット,Tanken Set,Explorakit,Forschersack,Esplorokit,Kit Explor.,탐험세트,Tamheom Set,"探險組合*
探险套装*","Tànxiǎn Zǔhé / Taamhím Jóuhahp*
Tànxiǎn Tàozhuāng*"
Solganium Z,VII,Allows Solgaleo and Dusk Mane Necrozma to upgrade Sunsteel Strike to the special Z-Move Searing Sunraze Smash.,Loot Sack,たからぶくろ,Takara Bukuro,Sac Butin,Beutesack,Bottinosacca,Saca Botín,보물주머니,Bomul Jumeoni,寶物袋 / 宝物袋,Bǎowù Dài / Bóumaht Doih
Soothe Bell,II,Causes the holder to gain friendship more quickly.,Rule Book,ルールブック,Rule Book,Livre Règles,Regelbuch,Libro Regole,Reglamento,룰북,Rule Book,規則書 / 规则书,Guīzé Shū / Kwāijāk Syū
Soot Sack,III,Allows player to gather soot from Mt. Chimney and exchange for Flutes.,Poké Radar,ポケトレ,Poké-Tra,Poké Radar,Pokéradar,Poké Radar,Pokéradar,포켓트레,Poké-Tra,寶可追蹤 / 宝可追踪,Bǎokě Zhuīzōng / Bóuhó Jēuijūng
Soul Dew,III,Increases the power of Psychic-type and Dragon-type moves used by Latias and Latios by 20%. (Raises the Special Attack and Special Defense of Latias and Latios before Gen. VII).,Point Card,ポイントカード,Point Card,Carte Points,Punktekarte,Scheda Punti,Tarj. Puntos,포인트카드,Point Card,點數卡 / 点数卡,Diǎnshù Kǎ / Dímsou Kāat
Space Mail,IV,Mail with an outer space pattern. To be held by a Pokémon for delivery.,Journal,ぼうけんノート,Bōken Note,Journal,Tagebuch,Agenda,Diario,모험노트,Moheom Note,冒險筆記 / 冒险笔记,Màoxiǎn Bǐjì / Mouhhím Bātgei
Sparkling Stone,VII,Given to Hala to make a Z-RingSM or Z-Power RingUSUM.,Seal Case,シールいれ,Seal Ire,Boîte Sceaux,Stick.Koffer,Portabolli,Caja Sellos,실상자,Seal Sangja,貼紙盒 / 贴纸盒,Tiēzhǐ Hé / Tipjí Hahp
Spell Tag,II,Raises the power of Ghost-type moves.,Fashion Case,アクセサリーいれ,Accessory Ire,Coffret Mode,Modekoffer,Scatola Chic,Caja Corazón,액세서리상자,Accessory Sangja,飾品盒 / 饰品盒,Shìpǐn Hé / Sīkbán Hahp
Spelon Berry,III,Pokéblock and Poffin ingredient.,Seal Bag,シールぶくろ,Seal Bukuro,Sac Sceaux,Stickertüte,Bollosacca,Bolsa Sellos,실주머니,Seal Jumeoni,貼紙袋 / 贴纸袋,Tiēzhǐ Dài / Tipjí Doih
Splash Plate,IV,Raises the power of Water-type moves.,Pal Pad,ともだちてちょう,Tomodachi Techō,Registre Ami,Adressbuch,Blocco Amici,Bloc amigos,친구수첩,Chingu Sucheop,朋友手冊 / 朋友手册,Péngyǒu Shǒucè / Pàhngyáuh Sáuchaak
Spooky Plate,IV,Raises the power of Ghost-type moves.,Works Key,はつでんしょキー,Hatsudensho Key,Clé Centrale,K-Schlüssel,Turbinchiave,Ll. Central,발전소키,Baljeonso Key,發電廠鑰匙 / 发电厂钥匙,Fādiànchǎng Yàoshi / Faatdihnchóng Yeuhksìh
Sport Ball,II,"A type of Poké Ball that is used in the Bug-Catching Contest.
Note: Called Park Ball in Generation II.",Old Charm,こだいのおまもり,Kodai no Omamori,Vieux Grigri,Talisman,Arcamuleto,Talismán,고대의부적,Godae-ui Bujeok,古代護符 / 古代护符,Gǔdài Hùfú / Gúdoih Wuhfùh
Sprayduck,IV,Used to water Berry plants.,Galactic Key,ギンガだんのカギ,Ginga-dan no Kagi,Clé Galaxie,G-Schlüssel,Galachiave,Ll. Galaxia,갤럭시단의 열쇠,Galaxy Dan-ui Yeolsoe,銀河隊鑰匙 / 银河队钥匙,Yínhé Duì Yàoshi / Ngàhnhòh Déui Yeuhksìh
Sprinklotad,VI,Used to water Berry plants.,Red Chain,あかいくさり,Akai Kusari,Chaîne Rouge,Rote Kette,Rossocatena,Cadena Roja,빨강쇠사슬,Ppalgang Soesaseul,紅色鎖鏈 / 红色锁链,Hóng-sè Suǒliàn / Hùhng-sīk Sólín
SquirtBottle,II,Used to bring Sudowoodo out of hiding.,Sprayduck,コダックじょうろ,Koduck Jōro,Kwakarrosoir,Entonkanne,Sprayduck,Psydugadera,고라파덕물뿌리개,Gorapaduck Mulppurigae,可達鴨噴壺 / 可达鸭喷壶,Kědáyā Pēnhú / Hódaahtáap Panwùh
Stable Mulch,IV,Extends the time ripened Berries will stay on the plant before falling.,Poffin Case,ポフィンケース,Poffin Case,Boîte Poffin,Knurspbox,Portapoffin,Pokochera,포핀케이스,Poffin Case,寶芬盒 / 宝芬盒,Bǎofēn Hé / Bǎofēn Hahp
Stardust,II,Can be sold for 1000.,Suite Key,ルームキー,Room Key,Clé Chambre,B-Schlüssel,Chiave Suite,Llave Suite,룸키,Room Key,房間鑰匙 / 房间钥匙,Fángjiān Yàoshi / Fòhnggāan Yeuhksìh
Starf Berry,III,Raises a random stat when HP is below ⅓.,Oak's Letter,オーキドのてがみ,Okido no Tegami,Lettre Chen,Eichs Brief,Lettera di Oak,Carta Pr Oak,오박사의 편지,O-baksa-ui Pyeonji,大木的信,Dàmù-de Xìn / Daaihmuhk-dīk Seun
Star Piece,II,Can be sold for 4900.,Lunar Wing,みかづきのはね,Mikadzuki no Hane,Lun'Aile,Lunarfeder,Ala Lunare,Pluma Lunar,초승달날개,Choseungdal Nalgae,新月之羽,Xīnyuè-zhī Yǔ / Sānyuht-jī Yúh
Steel Gem,V,"Increases the power of the holder's first Steel-type move by 50%, and is consumed after use.",Member Card,メンバーズカード,Member's Card,Carte Membre,Mitgl.Karte,Scheda Soci,Carné Socio,멤버스카드,Membership Card,會員卡 / 会员卡,Huìyuán Kǎ / Wúiyùhn Kāat
Steelium Z,VII,Allows a Pokémon to upgrade their Steel-type damaging moves to the Z-Move Corkscrew Crash or upgrade their Steel-type status moves into Z-Moves. Makes Arceus a Steel-type Pokémon.,Azure Flute,てんかいのふえ,Tenkai no Fue,Flûte Azur,Azurflöte,Flauto Cielo,Flauta Azur,천계의 피리,Cheongye-ui Piri,天界之笛,Tiānjiè-zhī Dí / Tīngaai-jī Dehk
Steel Mail,IV,Mail with a metallic design. To be held by a Pokémon for delivery.,Magma Stone,かざんのおきいし,Kazan no Okiishi,Pierre Magma,Magmastein,Magmapietra,Piedra Magma,화산의 돌,Hwasan-ui Dol,火山鎮石 / 火山镇石,Huǒshān Zhènshí / Fósāan Jansehk
Steel Memory,VII,Makes Silvally a Steel-type Pokémon and makes Multi-Attack a Steel-type move.,Coupon 1,ひきかえけん１,Hikikaeken 1,Bon 1,Kupon 1,Coupon 1,Cupón 1,교환권 1,Gyohwangwon 1,兌換券１ / 兑换券１,Duìhuàn Quàn 1 / Deuiwuhn Hyun 1
Steel Teeth,III,Give to the old man in front of Under Colosseum to obtain the L-Disk.,Coupon 2,ひきかえけん２,Hikikaeken 2,Bon 2,Kupon 2,Coupon 2,Cupón 2,교환권 2,Gyohwangwon 2,兌換券２ / 兑换券２,Duìhuàn Quàn 2 / Deuiwuhn Hyun 2
Steelixite,VI,Allows Steelix to Mega Evolve into Mega Steelix.,Coupon 3,ひきかえけん３,Hikikaeken 3,Bon 3,Kupon 3,Coupon 3,Cupón 3,교환권 3,Gyohwangwon 3,兌換券３ / 兑换券３,Duìhuàn Quàn 3 / Deuiwuhn Hyun 3
Stick,II,Raises Farfetch'd's critical hit ratio.,Vs. Recorder,バトルレコーダー,Battle Recorder,Magnéto VS,Kampfkamera,Registradati,Cámara Lucha,배틀레코더,Battle Recorder,對戰記錄器 / 对战记录器,Duìzhàn Jìlù Qì / Deuijin Geiluhk Hei
Sticky Barb,IV,Damages the holder. May latch onto the foe if a physical move is used and the foe is not already holding an item.,Gracidea,グラシデアのはな,Gracidea no Hana,Gracidée,Gracidea,Gracidea,Gracídea,그라시데아꽃,Gracidea Kkot,葛拉西蒂亞花 / 葛拉西蒂亚花,Gélāxīdìyǎ Huā / Gotlāaisāidaia Fā
Stone Plate,IV,Raises the power of Rock-type moves.,Apricorn Box,ぼんぐりケース,Bonguri Case,Bte Noigrume,Aprikokobox,Ghicobox,Caja Bonguri,규토리케이스,Gyutori Case,球果盒,Qiúguǒ Hé / Kàuhgwó Hahp
