Name,Gen,Gen2,Description,Note,NameStar,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Resist Wing,5,,Raises the Defense of a Pokémon.,,FALSE,ていこうのハネ,Teikō no Hane,Aile Armure,Abwehrfeder,Piumtutela,Pluma Aguante,저항력날개,Jeohangryeok Nalgae,抵抗之羽,Dǐkàng-zhī Yǔ / Dáikong-jī Yúh,16
Machine Part,3,,Take to the Power Plant to restore power to the Magnet Train.,,FALSE,"きかいのぶひん
マシンパーツ","Kikai no Buhin
Machine Part","Partie de Machine
Piece Meca.","Spule
Ersatzteil","Pezzo macch.
Meccanismo","Maquinaria
Pieza Esp.",기계부품,Gigye Bupum,機械零件 / 机械零件,Jīxiè Língjiàn / Gēihaaih Lìhnggín,0
Key Stone,,,,,,キーストーン,Key Stone,Gemme Sésame,Schlüssel-Stein,Pietrachiave,Piedra Activadora,키스톤,Key Stone,鑰石 / 钥石,Yàoshí / Yeuhksehk,0
Electirizer,4,,A hold item that allows Electabuzz to evolve when traded.,,FALSE,エレキブースター,Elec Booster,Électiriseur,Stromisierer,Elettritore,Electrizador,에레키부스터,Elec Booster,電力增幅器 / 电力增幅器,Diànlì Zēngfú Qì / Dihnlihk Jāngfūk Hei,0
Normal Box,2,,Sometimes held by reward Pokémon from clearing Gym Leader Castle in Pokémon Stadium when traded to Generation II or Pokémon Stadium 2.,,FALSE,きのはこ,Ki no Hako,Coffre Normal,Schachtel,Scat. Normale,Caja Normal,나무상자,Namu Sangja,,,0
Rich Mulch,6,,"When applied to a Berry patch, increases the final Berry harvest by 2 Berries.",,FALSE,たわわこやし,Tawawa Koyashi,Fertibondance,Sprießmulch,Fertilflorido,Abono Fértil,주렁주렁비료,Jureong-jureong Biryo,碩果肥 / 硕果肥,Shuòguǒ Féi / Sehkgwó Fèih,0
SquirtBottle,2,,Used to bring Sudowoodo out of hiding.,,FALSE,,,,,,,,,,,
Ghostium Z,7,,Allows a Pokémon to upgrade their Ghost-type damaging moves to the Z-Move Never-Ending Nightmare or upgrade their Ghost-type status moves into Z-Moves. Makes Arceus a Ghost-type Pokémon.,,FALSE,ゴーストＺ,Ghost-Z,Spectrozélite,Phantomium Z,Spectrium Z,Espectrostal Z,고스트Z,Ghost-Z,幽靈Ｚ / 幽灵Ｚ,Yōulíng-Z / Yāulìhng-Z,0
Psychic Seed,7,,A one-time use item that raises the holder's Sp. Defense by one stage upon activation of Psychic Terrain.,,FALSE,サイコシード,Psycho Seed,Graine Psychique,Psycho-Samen,Psicoseme,Semilla Psique,사이코시드,Psycho Seed,精神種子 / 精神种子,Jīngshén Zhǒngzi / Jīngsàhn Júngjí,0
Looker Ticket,6,,Must find five to advance the plot of the Looker post-game quest.,,FALSE,ハンサムチケット,Handsome Ticket,Ticket Beladonis,LeBelle-Ticket,Carta Bellocchio,Boleto Handsome,핸섬티켓,Handsome Ticket,帥哥券 / 帅哥券,Shuàigē Quàn / Seuigō Hyun,0
Altarianite,6,,Allows Altaria to Mega Evolve into Mega Altaria.,,FALSE,チルタリスナイト,Tyltalisnite,Altarite,Altarianit,Altarite,Altarianita,파비코리나이트,Pavicorinite,七夕青鳥進化石 / 七夕青鸟进化石,Qīxìqīngniǎo Jìnhuà Shí / Chātjihkchīngníuh Jeunfa Sehk,0
Dragon Gem,5,,"Increases the power of the holder's first Dragon-type move by 50%, and is consumed after use.",,FALSE,ドラゴンジュエル,Dragon Jewel,Joyau Dragon,Drakojuwel,Bijoudrago,Gema Dragón,드래곤주얼,Dragon Jueol,龍之寶石 / 龙之宝石,Lóng-zhī Bǎoshí / Lùhng-jī Bóusehk,16
,,,,,,,,,,,,,,,,
Lovely Mail,2,,Mail with a heart design. To be held by a Pokémon for delivery.,,FALSE,ラブリーメール,Lovely Mail,LetrCharm.,Herzbrief,Mess. Dolce,Carta Amor,러브리메일,Lovely Mail,,,0
Yache Berry,4,,Reduces damage taken from a super effective Ice-type move.,,FALSE,ヤチェのみ,Yache no Mi,Baie Nanone,Kiroyabeere,Baccamoya,Baya Rimoya,플카열매,Peulka Yeolmae,番荔果,Fānlì Guǒ / Fāanlaih Gwó,0
Lagging Tail,4,,Causes the holder to move after the opponent.,,FALSE,こうこうのしっぽ,Kōkō no Shippo,Ralentiqueue,Schwerschwf.,Rallentocoda,Cola Plúmbea,느림보꼬리,Neurimbo Kkori,後攻之尾 / 后攻之尾,Hòugōng-zhī Wěi/Hòugōng-zhī Yǐ/ Hauhgūng-jī Méih,0
Elevator Key,3,,Unlocks the Prestige Precept Center's elevator.,,FALSE,"エレベーターキー
エレベーターのキー","Elevator Key
Elevator no Key","Cle Ascens.*
Clé Ascenseur","Liftkarte*
Liftschlüssel","Chiave Asc.
Chiave ascensore","Ll. Ascensor
Llave Ascensor",엘리베이터키,Elevator Key,電梯鑰匙 / 电梯钥匙,Diàntī Yàoshi / Dihntāi Yeuhksìh,192
Electric Memory,7,,Makes Silvally a Electric-type Pokémon and makes Multi-Attack a Electric-type move.,,FALSE,エレクトロメモリ,Electro Memory,ROM Électrik,Elektro-Disc,ROM Elettro,Disco Eléctrico,일렉트릭메모리,Electric Memory,"電子記憶碟*
电子存储碟","Diànzǐ Jìyìdié / Dihnjí Geiyīkdihp*
Diànzǐ Cúnchǔdié",3
Berry Pouch,3,,Holds Berries.,,FALSE,きのみぶくろ,Kinomi Bukuro,Sac A Baies,Beerentüte,Porta Bacche,Saco Bayas,,,,,0
Yellow Shard,3,,Exchangeable for a variety of services.,,FALSE,きいろいかけら,Kiiroi Kakera,Tesson Jaune,Gelbstück,Coccio Giallo,Parte Amarilla,노랑조각,Norang Jogak,黃色碎片 / 黄色碎片,Huángsè Suìpiàn / Wòhngsīk Seuipin,48
X Speed,1,,Raises a Pokémon's Speed by 2 stages (1 stage before Gen. VII).,,FALSE,スピーダー,Speeder,Vitesse +,X-Tempo,Velocità X,Velocidad X,스피드업,Speed-Up,速度強化 / 速度强化,Sùdù Qiánghuà / Chūkdouh Kèuhngfa,0
Hondew Berry,3,,"Lowers Special Attack EV, but raises friendship.",,FALSE,ロメのみ,Rome no Mi,Baie Lonme,Honmelbeere,Baccamelon,Baya Meluce,로매열매,Lome Yeolmae,哈密果,Hāmì Guǒ / Hāmaht Gwó,0
Strange Souvenir,6,,Currently has no use.,,FALSE,ふしぎなおきもの,Fushigina Okimono,Bibelot Bizarre,Skurriloskulptur,Strano ninnolo,Estatuilla Rara,이상한장식품,Isanghae Jangsikpum,神秘擺設 / 神秘摆设,Shénmì Bǎishè / Sàhnbei Báaichit,0
Powder Jar,3,,Stores Berry Powder made from Berry Crush.,,FALSE,こないれ,Konaire,Pot Poudre,Puderdöschen,Portafarina,Bote Polvos,,,,,0
Honey,4,,Can be slathered on orange trees to attract rare Pokémon; or used in grass to attract wild Pokémon the same way Sweet Scent does.,,FALSE,あまいミツ,Amai Mitsu,Miel,Honig,Miele,Miel,달콤한꿀,Dalkomhan Kkul,甜甜蜜,Tiántián Mì / Tìhmtìhm Maht,0
Dive Ball,3,,A type of Poké Ball that works better on Pokémon encountered underwaterRSEORAS or while Surfing or fishingFRLGDPPtHGSSBWB2W2XY.,,FALSE,ダイブボール,Dive Ball,Scuba Ball,Tauchball,Sub Ball,Buceo Ball,다이브볼,Dive Ball,潛水球 / 潜水球,Qiánshuǐ Qiú / Chìhmséui Kàuh,0
Zinc,3,,Raises the Special Defense of a Pokémon.,,FALSE,キトサン,Chitosan,Zinc,Zink,Zinco,Zinc,키토산,Chitosan,特防增強劑 / 特防增强剂,PP Tíshēngjì / PP Tàihsīngjaih,0
Pidgeotite,6,,Allows Pidgeot to Mega Evolve into Mega Pidgeot.,,FALSE,ピジョットナイト,Pigeotnite,Roucarnagite,Taubossnit,Pidgeotite,Pidgeotita,피죤투나이트,Pijontoonite,大比鳥進化石 / 大比鸟进化石,Dàbǐniǎo Jìnhuà Shí / Daaihbéiníuh Jeunfa Sehk,0
Lens Case,6,,Stores colored contact lenses that allow the player to change their eye color.,,FALSE,レンズケース,Lens Case,Boîte Lentilles,Linsenetui,Portalenti,Portalentillas,렌즈케이스,Lens Case,隱形眼鏡盒 / 隐形眼镜盒,Yǐnxíng Yǎnjìng Hé / Yányìhng Ngáahngeng Hahp,0
White Apricorn,2,,"If taken to Kurt, he will make the player a Fast Ball. Also, Apricorn Drink ingredient.",Formatted as Wht Apricorn prior to Generation VI.,FALSE,しろぼんぐり,Shiro Bonguri,Noigrume Blc,Aprikoko Wss,Ghicocca Bianca,Bonguri Blanco,하얀규토리,Hayan Gyutori,白球果,Bái Qiúguǒ / Baahk Kàuhgwó,1072
Lift Key,1,,Allows operation of the elevator (lift) in the Team Rocket Hideout.,,FALSE,エレベータのカギ,Elevator no Kagi,Cle Asc.,Liftöffner,Chiave Ascensore,Llave Ascensor,엘리베이터열쇠,Elevator Yeolsoe,電梯鑰匙 / 电梯钥匙,Dìantī Yàoshi / Dihntāi Yeuhksìh,0
Heal Powder,2,,"Heals any status condition, but lowers friendship.",,FALSE,ばんのうごな,Bannō Gona,Poudre Soin,Heilpuder,Polvocura,Polvo Curación,만능가루,Manneung Garu,萬能粉 / 万能粉,Wànnéng Fěn / Maahnnàhng Fán,0
Shoal Shell,3,,Can be used to make a Shell Bell. Does not have any use in Generation IV. Can be sold to an item maniac in Route 5 for 7000 in Generation V.,,FALSE,あさせのかいがら,Asase no Kaigara,CoquilleTréfonds,Küstenschale,Gusciondoso,Concha Cardumen,여울조개껍질,Yeoul Jogaekkeopjil,淺灘貝殼 / 浅滩贝壳,Qiǎntān Bèiké / Chíntāan Buihok,144
Fire Gem,5,,"Increases the power of the holder's first Fire-type move by 50%, and is consumed after use.",,FALSE,ほのおのジュエル,Honō no Jewel,Joyau Feu,Feuerjuwel,Bijoufuoco,Gema Fuego,불꽃주얼,Bulkkot Jewel,火之寶石 / 火之宝石,Huǒ-zhī Bǎoshí / Fó-jī Bóusehk,16
Flame Orb,4,,Inflicts a burn on the holder.,,FALSE,かえんだま,Kaen Dama,Orbe Flamme,Heiß-Orb,Fiammosfera,Llamasfera,화염구슬,Hwayeom Guseul,火焰寶珠 / 火焰宝珠,Huǒyàn Bǎozhū / Fóyihm Bóujyū,0
Durin Berry,3,,Poffin and Pokéblock ingredient.,,FALSE,ドリのみ,Dori no Mi,Baie Durin,Durinbeere,Baccadurian,Baya Rudion,두리열매,Duri Yeolmae,金枕果,Jīnzhěn Guǒ / Gāmjám Gwó,0
Tunnel Mail,4,,Mail with a picture of a dark tunnel/mine. To be held by a Pokémon for delivery.,,FALSE,トンネルメール,Tunnel Mail,Lettre Mine,Minenbrief,Mess. Tunnel,Carta Mina,터널메일,Tunnel Mail,,,0
Jaboca Berry,4,,"If the foe's physical move hits, then the foe will also take damage.",,FALSE,ジャポのみ,Japo no Mi,Baie Jacoba,Jabocabeere,Baccajaba,Baya Jaboca,자보열매,Jabo Yeolmae,嘉珍果,Jiāzhēn Guǒ / Gājān Gwó,0
Adrenaline Orb,7,,"When used, makes wild Pokémon more likely to call allies for help in an SOS Battle. Is not consumed if it fails. If the holder is affected by Intimidate, its Speed is increased by one stage.",,FALSE,ビビリだま,Bibiri Dama,Orbe Frousse,Zitterorb,Fifasfera,Nerviosfera,주눅구슬,Junuk Guseul,膽怯球 / 胆怯球,Dǎnqiè Qiú / Dáamhip Kàuh,0
Roto Exp. Points,,,,,,けいけんポン,Keiken Pon,Molti-Exp,EP-Bon,Esp'n'roll,Cupón Exp, ???, ???,經驗碰碰 / 经验碰碰,Jīngyàn Pèngpèng / Gīngyihm Pungpung,0
Gonzap's Key,3,,Opens an item box containing TM30 (Shadow Ball).,,FALSE,ゴンザのカギ,Gonza no Key,Cle Helgonza,Schlüssel,Chiave Helg.,Llave Golka,,,,,0
Sun Flute,7,,Used to evolve Nebby into Solgaleo at the Altar of the Sunne.,,FALSE,たいようのふえ,Taiyō no Fue,Flûte du Soleil,Sonnenflöte,Flauto solare,Flauta Solar,태양의피리,Taeyang Uipili,太陽之笛 / 太阳之笛,Tàiyáng-zhī Dí / Taaiyèuhng-jī Dehk,0
Space Mail,4,,Mail with an outer space pattern. To be held by a Pokémon for delivery.,,FALSE,スペースメール,Space Mail,Lettre Cosmo,Sternbrief,Mess. Spazio,Car. Sideral,스페이스메일,Space Mail,,,0
Twisted Spoon,2,,Raises the power of Psychic-type moves.,Formatted as TwistedSpoon prior to Generation VI.,FALSE,まがったスプーン,Magatta Spoon,Cuiller Tordue,Krümmlöffel,Cucchiaio Torto,Cuchara Torcida,휘어진스푼,Hwieojin Spoon,彎曲的湯匙 / 弯曲的汤匙,Wānqū-de Tāngchí / Wāankūk-dīk Tōngchìh,1184
Iapapa Berry,3,,"When HP falls below 25%, restores 50% HP, but confuses Pokémon that dislike sour food (12.5% when below 50% before Gen. VII).",,FALSE,イアのみ,Ia no Mi,Baie Papaya,Yapabeere,Baccapaia,Baya Pabaya,파야열매,Paya Yeolmae,芭亞果 / 芭亚果,Bāyà Guǒ / Bā'a Gwó,0
Silph Scope,1,,Used to identify ghosts in Pokémon Tower.,,FALSE,シルフスコープ,Silph Scope,Scope Sylphe,Silph Scope,Spettrosonda,Scope Silph,실프스코프,Silph Scope,西爾佛檢視鏡 / 西尔佛检视镜,Xīěrfu Jiǎnshìjìng / Sāiyíhfaht Gímsihgeng,0
Magma Suit,6,,Allows the player to ride Groudon in the Cave of Origin and fly into space on Rayquaza.,,FALSE,マグマスーツ,Magma Suit,Scaph. Magma,Magma-Anzug,Tuta Magma,Traje Magma,마그마슈트,Magma Suit,熔岩裝 / 熔岩装,Róngyán Zhuāng / Yùhngngàahm Jōng,0
Swampertite,6,,Allows Swampert to Mega Evolve into Mega Swampert.,,FALSE,ラグラージナイト,Laglargenite,Laggronite,Sumpexnit,Swampertite,Swampertita,대짱이나이트,Daejjanginite,巨沼怪進化石 / 巨沼怪进化石,Jùzhǎoguài Jìnhuà Shí / Geuihjíugwaai Jeunfa Sehk,0
Relic Crown,5,,Can be sold for 300000 to the villa owner in Undella Town.,,FALSE,こだいのおうかん,Kodai no Ōkan,Vieux Tortil,Alte Krone,Coronantica,Corona Antigua,고대의왕관,Godae-yi Wanggwan,古代王冠,Gǔdài Wángguàn / Gúdoih Wòhnggūn,16
Lost Item,2,,Return to Copycat for access to Magnet Train.,,FALSE,おとしもの,Otoshi Mono,Poupée perdue,Fundsache,Strumento Perso,Obj. Perdido,분실물,Bunsilmul,遺失物 / 遗失物,Yíshī Wù / Wàihsāt Maht,0
Latiasite,6,,Allows Latias to Mega Evolve into Mega Latias.,,FALSE,ラティアスナイト,Latiasnite,Latiasite,Latiasnit,Latiasite,Latiasita,라티아스나이트,Latiasnite,拉帝亞斯進化石 / 拉帝亚斯进化石,Lādìyāsī Jìnhuà Shí / Lāaidai'asī Jeunfa Sehk,0
Energy Powder,2,,"Restores 50 HP, but lowers friendship.",Formatted as EnergyPowder prior to Generation VI.,FALSE,ちからのこな,Chikara no Kona,Poudre Énergie,Energiestaub,Polvenergia,Polvo Energía,힘의가루,Himui Garu,元氣粉 / 元气粉,Yuánqì Fěn / Yùhnhei Fán,1168
HM,,,,,,ひでんマシン,Hiden Machine,CS,VM,MN,MO,비전머신,Bijeon Machine,秘傳學習器 / 秘传学习器,Mìchuán Xuéxíqì / Beichyùhn Hohkjaahphei,0
Power Belt,4,,"Promotes Defense EVs, but lowers Speed in battle.",,FALSE,パワーベルト,Power Belt,Ceinture Pouvoir,Machtgurt,Vigorfascia,Cinto Recio,파워벨트,Power Belt,力量腰帶 / 力量腰带,Lìliàng Yāodài / Lihkleuhng Yīudáai,128
Krane Memo 5,3,,Contains information about the Purify Chamber.,,FALSE,クレインメモ５,Krane Memo 5,Memo Syrus 5,Klein-Memo 5,Appunti 5,Parte Cío 5,,,,,0
Lucky Punch,3,,Raises Chansey's critical hit rate.,,FALSE,ラッキーパンチ,Lucky Punch,Poing Chance,Lucky Punch,Fortunpugno,Puño Suerte,럭키펀치,Lucky Punch,吉利拳,Jílì Quán / Gātleih Kyùhn,0
Pass Orb,5,,Used for purchasing Pass Powers at the Entralink.,,FALSE,デルダマ,Derudama,Offrisphère,Transferorb,Passabilia,Regalosfera,딜구슬,Dil Guseul,釋出之玉 / 释出之玉,Shìchū-zhī Yù / Sīkchēut-jī Yúk,0
Elevator Key,3,,Unlocks the elevator in Pyrite Bldg giving the player access to The Under.,,FALSE,"エレベーターキー
エレベーターのキー","Elevator Key
Elevator no Key","Cle Ascens.*
Clé Ascenseur","Liftkarte*
Liftschlüssel","Chiave Asc.
Chiave ascensore","Ll. Ascensor
Llave Ascensor",엘리베이터키,Elevator Key,電梯鑰匙 / 电梯钥匙,Diàntī Yàoshi / Dihntāi Yeuhksìh,192
Data ROM,3,,Holds data on Shadow Pokémon.,,FALSE,データロム,Data ROM,Disque-ROM,CD-ROM,CD ROM,Disquete,,,,,32
Chesto Berry,3,,Awakens a Pokémon from sleep.,,FALSE,カゴのみ,Kago no Mi,Baie Maron,Maronbeere,Baccastagna,Baya Atania,유루열매,Yuru Yeolmae,零餘果 / 零余果,Língyú Guǒ / Lìhngyùh Gwó,0
X Defense,1,,Raises a Pokémon's Defense by 2 stages (1 stage before Gen. VII).,Called X Defend prior to Generation VI.,FALSE,ディフェンダー,Defender,Defense +,X-Abwehr,Difesa X,Defensa X,디펜드업,Defend-Up,防禦強化 / 防御强化,Fángyù Qiánghuà / Fòhngyuh Kèuhngfa,1024
Loot Sack,,,,,,たからぶくろ,Takara Bukuro,Sac Butin,Beutesack,Bottinosacca,Saca Botín,보물주머니,Bomul Jumeoni,寶物袋 / 宝物袋,Bǎowù Dài / Bóumaht Doih,0
Salamencite,6,,Allows Salamence to Mega Evolve into Mega Salamence.,,FALSE,ボーマンダナイト,Bohmandanite,Drattakite,Brutalandanit,Salamencite,Salamencita,보만다나이트,Bomandanite,暴飛龍進化石 / 暴飞龙进化石,Bàofēilóng Jìnhuà Shí / Bouhfēilùhng Jeunfa Sehk,0
Blue Orb,3,,Used to awaken Kyogre. It also turns Kyogre into Primal Kyogre during battle when holding the item.ORAS,,FALSE,あいいろのたま,Aiiro no Tama,Gemme Bleue,Blauer Edelstein,Gemma blu,Prisma Azul,쪽빛구슬,Jjokbit Guseul,靛藍色寶珠 / 靛蓝色宝珠,Diànlán-sè Bǎozhū / Dihnlàahm-sīk Bóujyū,240
AuroraTicket,3,,Event item that allows player to catch Deoxys.,,FALSE,オーロラチケット,Aurora Ticket,Ticketaurora,Auroraticket,Biglietto Aurora,Ori-Ticket,,,,,0
Premier Ball,3,,A Poké Ball with special coloring. The Poké Mart cashier will give one to the player for free if ten or more standard Poké Balls are purchased.,,FALSE,プレミアボール,Premier Ball,Honor Ball,Premierball,Premier Ball,Honor Ball,프레미어볼,Premier Ball,紀念球 / 纪念球,Jìniàn Qiú / Géinihm Kàuh,0
Leppa Berry,3,,Restores 10 PP.,,FALSE,ヒメリのみ,Himeri no Mi,Baie Mepo,Jonagobeere,Baccamela,Baya Zanama,과사열매,Gwasa Yeolmae,蘋野果 / 苹野果,Píngyě Guǒ / Pìhngyéh Gwó,0
Ein File C,3,,Describes Celebi.,,FALSE,ボルグファイルＣ,Borg File C,Dossier Teck C,Culpa-Akte C,Genus.File C,Parte Ein: C,,,,,0
Ginema Berry,3,,"Raises a lowered stat in battle. If transferred to Generation IV via Pal Park, it will turn into an Enigma Berry.",,FALSE,,,,,,,,,,,
Toxic Plate,4,,Raises the power of Poison-type moves.,,FALSE,もうどくプレート,Moudoku Purēto,Plaque Toxic,Gifttafel,Lastrafiele,Tabla Tóxica,맹독플레이트,Maengdok Plate,劇毒石板 / 剧毒石板,Jùdú Shíbǎn / Kehkduhk Sehkbáan,0
Grip Claw,4,,"Causes trapping moves (e.g. Bind, Wrap) to last for five turns.",,FALSE,ねばりのかぎづめ,Nebari no Kagidzume,Accro Griffe,Griffklaue,Presartigli,Garra Garfio,끈기갈고리손톱,Kkeun-gi Galgori Sontop,緊纏鈎爪 / 紧缠钩爪,Jǐnchán Gōuzhuǎ / Gánchìhn Ngāujáau,0
Banettite,6,,Allows Banette to Mega Evolve into Mega Banette.,,FALSE,ジュペッタナイト,Juppetanite,Branettite,Banetteonit,Banettite,Banettita,다크펫나이트,Darkpetnite,詛咒娃娃進化石 / 诅咒娃娃进化石,Zǔzhòuwáwá Jìnhuà Shí / Jojauwāwā Jeunfa Sehk,0
Vivid Scent,3,,Reduces the heart gauge by a large amount and increases friendship.,,FALSE,ドキドキのかおり,Dokidoki no Kaori,P. Palpitant,Paradies-E.,Olio Sublime,Ar. Energía,,,,,0
Armor Fossil,4,,A Fossil from which a Shieldon can be resurrected.,,FALSE,たてのカセキ,Tate no Kaseki,Fossile Armure,Panzerfossil,Fossilscudo,Fósil Coraza,방패의화석,Bangpae-ui Hwaseok,盾甲化石,Dùnjiǎ Huàshí / Téuhngaap Fasehk,128
Toxic Orb,4,,Inflicts the Badly poisoned status on the holder.,,FALSE,どくどくだま,Dokudoku Dama,Orbe Toxique,Toxik-Orb,Tossicsfera,Toxisfera,맹독구슬,Maengdok Guseul,劇毒寶珠 / 剧毒宝珠,Jùdú Bǎozhū / Kehkduhk Bóujyū,0
Steelixite,6,,Allows Steelix to Mega Evolve into Mega Steelix.,,FALSE,ハガネールナイト,Haganeilnite,Steelixite,Stahlosnit,Steelixite,Steelixita,강철톤나이트,Gangcheoltonnite,大鋼蛇進化石 / 大钢蛇进化石,Dàgāngshé Jìnhuà Shí / Daaihgongsèh Jeunfa Sehk,0
Magmarizer,4,,A held item that allows Magmar to evolve when traded.,,FALSE,マグマブースター,Magma Booster,Magmariseur,Magmaisierer,Magmatore,Magmatizador,마그마부스터,Magma Booster,熔岩增幅器,Róngyán Zēngfú Qì / Yùhngngàahm Jāngfūk Hei,0
Figy Berry,3,,"When HP falls below 25%, restores 50% HP, but confuses Pokémon that dislike spicy food (12.5% when below 50% before Gen. VII).",,FALSE,フィラのみ,Fira no Mi,Baie Figuy,Giefebeere,Baccafico,Baya Higog,무화열매,Muhwa Yeolmae,勿花果,Wùhuā Guǒ / Mahtfā Gwó,0
Excite Scent,3,,"Reduces heart gauge, increases friendship.",,FALSE,ワクワクのかおり,Wakuwaku no Kaori,P. Tonifiant,Glücks-E.,Olio di Rosa,Ar. Emoción,,,,,0
Lunalium Z,7,,Allows Lunala and Dawn Wings Necrozma to upgrade Moongeist Beam to the special Z-Move Menacing Moonraze Maelstrom.,,FALSE,ルナアーラＺ,Lunala-Z,Lunazélite,Lunalium Z,Lunalium Z,Lunalastal Z,루나아라Z,Lunala-Z,露奈雅拉Ｚ,Lùnàiyǎlā-Z / Louhnoihngáhlāai-Z,0
Tamato Berry,3,,"Raises friendship, but lowers Speed EVs.",,FALSE,マトマのみ,Matoma no Mi,Baie Tamato,Tamotbeere,Baccamodoro,Baya Tamate,토망열매,Tomang Yeolmae,茄番果,Qiéfān Guǒ / Kéfāan Gwó,0
Master Ball,1,,"A rare type of Poké Ball that catches any wild Pokémon without fail. Generally available only once in the game, though it may be obtained again in very unlikely situations (such as winning the lottery), cheating, or on the GTS in Generation IV.",,FALSE,マスターボール,Master Ball,Master Ball,Meisterball,Master Ball,Master Ball,마스터볼,Master Ball,大師球 / 大师球,Dàshī Qiú / Daaihsī Kàuh,0
Clever Wing,5,,Raises the Special Defense of a Pokémon.,,FALSE,せいしんのハネ,Seishin no Hane,Aile Mental,Espritfeder,Piumintuito,Pluma Mente,정신력날개,Jeongsinryeok Nalgae,精神之羽,Jīngshén-zhī Yǔ / Jīngsàhn-jī Yúh,16
Surge Badge,,,,,,だいだいバッジ,Daidai Badge,Fulguro-Badge,Gewitterorden,Medaglia Tonante,Medalla Fulgor,주황배지,Juhwang Badge,橘色徽章 / 桔色徽章,Jú-sè Huīzhāng / Gwāt-sīk Fāijēung,0
Sport Ball,2,,A type of Poké Ball that is used in the Bug-Catching Contest.,Called Park Ball in Generation II.,FALSE,コンペボール,Compe Ball,Compét'Ball,Turnierball,Gara Ball,Competi Ball,콤페볼,Compe Ball,競賽球 / 竞赛球,Jìngsài Qiú / Gihngchoi Kàuh,0
Portraitmail,2,,Mail that contains a silhouette of the Pokémon holding it. To be held by a Pokémon for delivery.,,FALSE,にがおえメール,Nigaoe Mail,LetrPortrait,Portraitbrief,Mess. Ritratto,Cart-Retrato,초상화메일,Chosanghwa Mail,,,0
Bluesky Mail,4,,A sky-print mail. To be held by a Pokémon for delivery.,,FALSE,あおぞらメール,Aozora Mail,LetrCielBleu,Kobaltbrief,Mess. Cielo,Cartaceleste,푸른하늘메일,Pureun Haneul Mail,,,0
Poké Flute,1,,Awakens sleeping Pokémon.,,FALSE,ポケモンのふえ,Pokémon no Fue,Pokéflute,Pokéflöte,Pokéflauto,Poké Flauta,포켓몬피리,Pocketmon Piri,寶可夢之笛 / 宝可梦之笛,Bǎokěmèng-zhī Dí / Bóuhómuhng-jī Dehk,0
Garchompite,6,,Allows Garchomp to Mega Evolve into Mega Garchomp.,,FALSE,ガブリアスナイト,Gaburiasnite,Carchacrokite,Knakracknit,Garchompite,Garchompita,한카리아스나이트,Hankariasnite,烈咬陸鯊進化石 / 烈咬陆鲨进化石,Lièyǎolùshā Jìnhuà Shí / Lihtngáauhluhksā Jeunfa Sehk,0
Retro Mail,3,,Mail with a picture of the three Kanto Starter Pokémon.,,FALSE,レトロメール,Retro Mail,Lettre Retro,Retrobrief,Mess. Retro,Carta Retro,,,,,0
Bonsly Card,3,,Allows play of the card in Battle Bingo.,,FALSE,ウソハチシート,Usohachi Sheet,Carte Manzai,Mobai-Karte,Scheda Bonsly,Cart. Bonsly,,,,,0
Root Fossil,3,,A Fossil from which a Lileep can be resurrected.,,FALSE,ねっこのカセキ,Nekko no Kaseki,Fossile Racine,Wurzelfossil,Radifossile,Fósil Raíz,뿌리화석,Ppuri Hwaseok,根狀化石 / 根状化石,Gēnzhuàng Huàshí / Gānjohng Fasehk,128
Rabuta Berry,3,,Pokéblock and Poffin ingredient.,,FALSE,ラブタのみ,Rabuta no Mi,Baie Rabuta,Rabutabeere,Baccambutan,Baya Rautan,라부탐열매,Rabutam Yeolmae,茸丹果,Rōngdān Guǒ / Yùhngdāan Gwó,0
Quick Claw,2,,May allow the user to move first.,,FALSE,せんせいのツメ,Sensei no Tsume,Vive Griffe,Flinkklaue,Rapidartigli,Garra Rápida,선제공격손톱,Seonjegonggyeok Sontop,先制之爪,Xiānzhì-zhī Zhuǎ / Sīnjai-jī Jáau,0
Pearl String,5,,Can be sold for 25000 to the ore collector,,FALSE,おだんごしんじゅ,Odango Shinju,Perle Triple,Triperle,Trittiperla,Sarta Perlas,경단진주,Gyeongdan Jinju,丸子珍珠,Wánzi Zhēnzhū / Yùhnjí Jānjyū,0
BridgeMail S,5,,Stationary with a sky-piercing bridge print. To be held by a Pokémon for delivery.,,FALSE,ブリッジメールＳ,Bridge Mail S,Lettre PontS,Brückbrief H,Mess. Frec.,C. Puente S,브리지메일S,Bridge Mail S,橋梁郵件Ｓ / 桥梁邮件Ｓ,Qiáoliáng Yóujiàn S / Kìuhlèuhng Yàuhgín S,0
Glitter Mail,3,,Mail with a Pikachu pattern.,,FALSE,キラキラメール,Kira Kira Mail,Lettre Brill,Glitzerbrief,Mess. Luci,Carta Brillo,,,,,0
Sun Stone,2,,"Can be used to evolve Sunkern, Gloom, Cottonee, Petilil, and Helioptile.",,FALSE,たいようのいし,Taiyō no Ishi,Pierre Soleil,Sonnenstein,Pietrasolare,Piedra Solar,태양의돌,Taeyang-ui Dol,日之石,Rì-zhī Shí / Yaht-jī Sehk,128
