Name,Dex,Dex_Suffix,Alt,Item,Class,LDex,LDex_Suffix,Type,Type2,Gender_Ratio,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,WeightLbs,WeightKg,Experience type,Body,Type1,Gen,Color,Group,Base friendship,EvolutionLevel,Call_Rate_SM,Call_Rate_USUM,Ability 1,Ability 2,Hidden,Star,Habitat,Page,Ft,In,HeightM
Cloyster,91,,,,,91,,Water,Ice,1:1,Water 3,—,20,5120,5376,5355,5140,5120,292.1,132.5,Slow,Pokémon consisting of only a head,Water,1,Purple,E,70,,,,Shell Armor,Skill Link,Overcoat,1,Sea,5,4,11,1.5
Magikarp,129,,,,,129,,Water,,1:1,Water 2,Dragon,5,1280,1536,1530,1285,1280,22,10,Slow,Pokémon with fins,Water,1,Red,C,70,20,,,Swift Swim,,Rattled,0,Water's-edge,2,2,11,0.9
Lurantis,754,,,,,144,,Grass,,1:1,Grass,—,20,,,,,5120,40.8,18.5,Medium Fast,"Pokémon with a bipedal, tailless form",Grass,7,Pink,,70,,,,Leaf Guard,,Contrary,0,,,2,11,0.9
Dragonite,149,,,,,149,,Dragon,Flying,1:1,Water 1,Dragon,40,10240,10496,10455,10280,10240,463,210,Slow,"Pokémon with a bipedal, tailed form",Dragon,1,Brown,D,35,,,,Inner Focus,,Multiscale,0,Water's-edge,12,7,3,2.2
Rayquaza,384,,,,,200,,Dragon,Flying,GU,Undiscovered,—,120,,30976,30855,30840,30720,455.2,206.5,Slow,Pokémon with serpentine bodies,Dragon,3,Green,D,0,,,,Air Lock,,,0,Rare,5,23,0,7
Furfrou,676,,,,Matron Trim,93,Ce,Normal,,1:1,Field,—,20,,,,5140,5120,61.7,28,Medium Fast,Pokémon with a quadruped body,Normal,6,White,,70,,,,Fur Coat,,,0,,,3,11,1.2
Altaria,334,,,,,122,,Dragon,Flying,1:1,Flying,Dragon,20,,5376,5355,5140,5120,45.4,20.6,Erratic,Pokémon with a single pair of wings,Dragon,3,Blue,H,70,,,,Natural Cure,,Cloud Nine,0,Forest,22,3,7,1.1
Nosepass,299,,,,,60,,Rock,,1:1,Mineral,—,20,,5376,5355,5140,5120,213.8,97,Medium Fast,"Pokémon with a bipedal, tailless form",Rock,3,Gray,E,70,,,,Sturdy,Magnet Pull,Sand Force,0,Cave,5,3,3,1
Yungoos,734,,,,,13,,Normal,,1:1,Field,—,15,,,,,3840,13.2,6,Medium Fast,Pokémon with a quadruped body,Normal,7,Brown,,70,20,,,Stakeout,Strong Jaw,Adaptability,0,,,1,4,0.4
Klink,599,,,,,105,,Steel,,G,Mineral,—,20,,,,5140,5120,46.3,21,Medium Slow,Pokémon consisting of multiple bodies,Steel,5,Gray,,70,38,,,Plus,Minus,Clear Body,0,,,1,0,0.3
Pikachu,25,,,,Rock Star,25,,Electric,,1:1,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,Pokémon with a quadruped body,Electric,1,Yellow,D,70,,,,Static,,Lightning Rod,0,Forest,7,1,4,0.4
Charjabug,737,,,,,28,,Bug,Electric,1:1,Bug,—,15,,,,,3840,23.1,10.5,Medium Fast,Pokémon with serpentine bodies,Bug,7,Green,,70,,,,Battery,,,0,,,1,8,0.5
Gogoat,673,,,,,90,Ce,Grass,,1:1,Field,—,20,,,,5140,5120,200.6,91,Medium Fast,Pokémon with a quadruped body,Grass,6,Brown,,70,,,,Sap Sipper,,Grass Pelt,0,,,5,7,1.7
Furfrou,676,,,,Natural Form,93,Ce,Normal,,1:1,Field,—,20,,,,5140,5120,61.7,28,Medium Fast,Pokémon with a quadruped body,Normal,6,White,,70,,,,Fur Coat,,,0,,,3,11,1.2
Oranguru,765,,,,,176,,Normal,Psychic,1:1,Field,—,20,,,,,5120,167.6,76,Slow,"Pokémon with a bipedal, tailless form",Normal,7,White,,70,,,,Inner Focus,Telepathy,Symbiosis,0,,,4,11,1.5
Swadloon,541,,,,,47,,Bug,Grass,1:1,Bug,—,15,,,,3855,3840,16.1,7.3,Medium Slow,Pokémon consisting of a head and arms,Bug,5,Green,,70,,,,Leaf Guard,Chlorophyll,Overcoat,0,,,1,8,0.5
Turtwig,387,,,,,1,,Grass,,1:7,Monster,Grass,20,,,5355,5140,5120,22.5,10.2,Medium Slow,Pokémon with a quadruped body,Grass,4,Green,E,70,18,,,Overgrow,,Shell Armor,0,,,1,4,0.4
Munchlax,446,,,,,112,,Normal,,1:7U,Undiscovered,—,40,,,10455,10280,10240,231.5,105,Slow,"Pokémon with a bipedal, tailless form",Normal,4,Black,E,70,,,,Pickup,Thick Fat,Gluttony,0,,,2,0,0.6
Audino,531,M,,Audinite,Mega,37,,Normal,Fairy,1:1,Fairy,—,20,,,,5140,5120,68.3,31,Fast,"Pokémon with a bipedal, tailed form",Normal,5,White,,70,,,,Healer,Regenerator,Klutz,0,,,4,11,1.5
Quilava,156,,,,,5,,Fire,,1:7,Field,—,20,5120,5376,5355,5140,5120,41.9,19,Medium Slow,Pokémon with a quadruped body,Fire,2,Yellow,C,70,36,,,Blaze,,Flash Fire,0,Grassland,25,2,11,0.9
Florges,671,,,,Blue Flower,70,Ce,Fairy,,1:0,Fairy,—,20,,,,5140,5120,22,10,Medium Fast,Pokémon consisting of a head and arms,Fairy,6,White,,70,,,,Flower Veil,,Symbiosis,0,,,3,7,1.1
Ledian,166,,,,,31,,Bug,Flying,1:1,Bug,—,15,3840,4096,4080,3855,3840,78.5,35.6,Fast,Pokémon with a single pair of wings,Bug,2,Red,F,70,,,,Swarm,Early Bird,Iron Fist,0,Forest,12,4,7,1.4
Dunsparce,206,,,,,52,,Normal,,1:1,Field,—,20,5120,5376,5355,5140,5120,30.9,14,Medium Fast,Pokémon with serpentine bodies,Normal,2,Yellow,A,70,,,,Serene Grace,Run Away,Rattled,0,Cave,5,4,11,1.5
Virizion,640,,,,,146,,Grass,Fighting,GU,Undiscovered,—,80,,,,20560,20480,440.9,200,Slow,Pokémon with a quadruped body,Grass,5,Green,,35,,,,Justified,,,0,,,6,7,2
Swellow,277,,,,,26,,Normal,Flying,1:1,Flying,—,15,,4096,4080,3855,3840,43.7,19.8,Medium Slow,Pokémon with a single pair of wings,Normal,3,Blue,D,70,,,,Guts,,Scrappy,0,Grassland,5,2,4,0.7
Skarmory,227,,,,,203,,Steel,Flying,1:1,Flying,—,25,6400,6656,6630,6425,6400,111.3,50.5,Slow,Pokémon with a single pair of wings,Steel,2,Gray,C,70,,,,Keen Eye,Sturdy,Weak Armor,0,Rough-terrain,7,5,7,1.7
Quilladin,651,,,,,2,Ce,Grass,,1:7,Field,—,20,,,,5140,5120,63.9,29,Medium Slow,"Pokémon with a bipedal, tailed form",Grass,6,Green,,70,36,,,Overgrow,,Bulletproof,0,,,2,4,0.7
Simisear,514,,,,,20,,Fire,,1:7,Field,—,20,,,,5140,5120,61.7,28,Medium Fast,"Pokémon with a bipedal, tailed form",Fire,5,Red,,70,,,,Gluttony,,Blaze,0,,,3,3,1
Poipole,803,,,,,261,,Poison,,GU,Undiscovered,—,120,,,,,30720,4,1.8,Slow,"Pokémon with a bipedal, tailed form",Poison,7,Purple,,0,,,,Beast Boost,,,0,,,2,0,0.6
Mightyena,262,,,,,11,,Dark,,1:1,Field,—,15,,4096,4080,3855,3840,81.6,37,Medium Fast,Pokémon with a quadruped body,Dark,3,Gray,D,70,,,,Intimidate,Quick Feet,Moxie,1,Grassland,2,3,3,1
Sawk,539,,,,,45,,Fighting,,0:1,Human-Like,—,20,,,,5140,5120,112.4,51,Medium Fast,"Pokémon with a bipedal, tailless form",Fighting,5,Blue,,70,,,,Sturdy,Inner Focus,Mold Breaker,0,,,4,7,1.4
Silvally,773,,,,Type: Ice,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Florges,671,,,,Yellow Flower,70,Ce,Fairy,,1:0,Fairy,—,20,,,,5140,5120,22,10,Medium Fast,Pokémon consisting of a head and arms,Fairy,6,White,,70,,,,Flower Veil,,Symbiosis,0,,,3,7,1.1
Gulpin,316,,,,,95,,Poison,,1:1,Amorphous,—,20,,5376,5355,5140,5120,22.7,10.3,Fluctuating,Pokémon consisting of a head and arms,Poison,3,Green,G,70,26,,,Liquid Ooze,Sticky Hold,Gluttony,0,Grassland,14,1,4,0.4
Metapod,11,,,,,11,,Bug,,1:1,Bug,—,15,3840,4096,4080,3855,3840,21.8,9.9,Medium Fast,Pokémon with serpentine bodies,Bug,1,Green,A,70,10,,,Shed Skin,,,0,Forest,1,2,4,0.7
Silvally,773,,,,Type: Ghost,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Silvally,773,,,,Type: Fairy,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Minior,774,G,,,Meteor Form,213,,Rock,Flying,G,Mineral,—,25,,,,,6400,88.2,40,Medium Slow,Pokémon consisting of only a head,Rock,7,Green,,70,,,,Shields Down,,,0,,,1,0,0.3
Vivillon,666,,,,Meadow Pattern,22,Ce,Bug,Flying,1:1,Bug,—,15,,,,3855,3840,37.5,17,Medium Fast,Pokémon with two or more pairs of wings,Bug,6,White,,70,,,,Shield Dust,Compound Eyes,Friend Guard,0,,,3,11,1.2
Marill,183,,,,,132,,Water,Fairy,1:1,Water 1,Fairy,10,2560,2816,2805,2570,2560,18.7,8.5,Fast,"Pokémon with a bipedal, tailed form",Water,2,Blue,D,70,18,,,Thick Fat,Huge Power,Sap Sipper,0,Water's-edge,8,1,4,0.4
Leafeon,470,,,,,169,,Grass,,1:7,Field,—,35,,,9180,8995,8960,56.2,25.5,Medium Fast,Pokémon with a quadruped body,Grass,4,Green,F,35,,,,Leaf Guard,,Chlorophyll,0,,,3,3,1
Stakataka,805,,,,,392,,Rock,Steel,GU,Undiscovered,—,120,,,,,30720,1807.8,820,Slow,Pokémon with a quadruped body,Rock,7,Gray,,0,,,,Beast Boost,,,0,,,18,1,5.5
Bayleef,153,,,,,2,,Grass,,1:7,Monster,Grass,20,5120,5376,5355,5140,5120,34.8,15.8,Medium Slow,Pokémon with a quadruped body,Grass,2,Green,H,70,32,,,Overgrow,,Leaf Guard,0,Grassland,24,3,11,1.2
Samurott,503,,,,,9,,Water,,1:7,Field,—,20,,,,5140,5120,208.6,94.6,Medium Slow,Pokémon with a quadruped body,Water,5,Blue,,70,,,,Torrent,,Shell Armor,0,,,4,11,1.5
Arceus,493,,,,Type: Flying,,,Normal,,GU,Undiscovered,—,120,,,30855,30840,30720,705.5,320,Slow,Pokémon with a quadruped body,Normal,4,White,,0,,,,Multitype,,,0,,,10,6,3.2
Palpitoad,536,,,,,42,,Water,Ground,1:1,Water 1,—,20,,,,5140,5120,37.5,17,Medium Slow,"Pokémon with a bipedal, tailed form",Water,5,Blue,,70,36,,,Swift Swim,Hydration,Water Absorb,0,,,2,7,0.8
Bibarel,400,,,,,14,,Normal,Water,1:1,Water 1,Field,15,,,4080,3855,3840,69.4,31.5,Medium Fast,"Pokémon with a bipedal, tailed form",Normal,4,Brown,F,70,,,,Simple,Unaware,Moody,0,,,3,3,1
Grovyle,253,,,,,2,,Grass,,1:7,Monster,Dragon,20,,5376,5355,5140,5120,47.6,21.6,Medium Slow,"Pokémon with a bipedal, tailed form",Grass,3,Green,D,70,36,,,Overgrow,,Unburden,0,Forest,25,2,11,0.9
Houndoom,229,M,,Houndoominite,Mega,215,,Dark,Fire,1:1,Field,—,20,5120,5376,5355,5140,5120,77.2,35,Slow,Pokémon with a quadruped body,Dark,2,Black,,35,,,,Early Bird,Flash Fire,Unnerve,0,Rough-terrain,4,6,3,1.9
Dugtrio,51,A,,,Alolan,,,Ground,Steel,1:1,Field,—,20,5120,5376,5355,5140,5120,73.4,33.3,Medium Fast,Pokémon consisting of multiple bodies,Ground,1,Brown,,70,,,,Sand Veil,Arena Trap,Sand Force,0,Cave,2,2,4,0.7
Chespin,650,,,,,1,Ce,Grass,,1:7,Field,—,20,,,,5140,5120,19.8,9,Medium Slow,"Pokémon with a bipedal, tailed form",Grass,6,Green,,70,16,,,Overgrow,,Bulletproof,0,,,1,4,0.4
Floette,670,,,,White Flower,69,Ce,Fairy,,1:0,Fairy,—,20,,,,5140,5120,2,0.9,Medium Fast,Pokémon consisting of a head and arms,Fairy,6,White,,70,,,0,Flower Veil,,Symbiosis,0,,,0,8,0.2
Nidorina,30,,,,,30,,Poison,,1:0U,Undiscovered,—,20,5120,5376,5355,5140,5120,44.1,20,Medium Slow,Pokémon with a quadruped body,Poison,1,Blue,C,70,,,,Poison Point,Rivalry,Hustle,1,Grassland,3,2,7,0.8
Pinsir,127,,,,,127,,Bug,,1:1,Bug,—,25,6400,6656,6630,6425,6400,121.3,55,Slow,"Pokémon with a bipedal, tailless form",Bug,1,Brown,C,70,,,,Hyper Cutter,Mold Breaker,Moxie,1,Forest,21,4,11,1.5
Pawniard,624,,,,,130,,Dark,Steel,1:1,Human-Like,—,20,,,,5140,5120,22.5,10.2,Medium Fast,"Pokémon with a bipedal, tailless form",Dark,5,Red,,35,52,,,Defiant,Inner Focus,Pressure,0,,,1,8,0.5
Furfrou,676,,,,Debutante Trim,93,Ce,Normal,,1:1,Field,—,20,,,,5140,5120,61.7,28,Medium Fast,Pokémon with a quadruped body,Normal,6,White,,70,,,,Fur Coat,,,0,,,3,11,1.2
Vanillite,582,,,,,88,,Ice,,1:1,Mineral,—,20,,,,5140,5120,12.6,5.7,Slow,Pokémon consisting of a head and a base,Ice,5,White,,70,35,,,Ice Body,Snow Cloak,Weak Armor,1,,,1,4,0.4
Pikachu,25,,,,Hoenn Cap,25,,Electric,,1:1,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,Pokémon with a quadruped body,Electric,1,Yellow,D,70,,,,Static,,Lightning Rod,0,Forest,7,1,4,0.4
Palossand,770,,,,,187,,Ghost,Ground,1:1,Amorphous,—,15,,,,,3840,551.2,250,Medium Fast,Pokémon with serpentine bodies,Ghost,7,Brown,,70,,,,Water Compaction,,Sand Veil,0,,,4,3,1.3
Trubbish,568,,,,,74,,Poison,,1:1,Mineral,—,20,,,,5140,5120,68.3,31,Medium Fast,"Pokémon with a bipedal, tailless form",Poison,5,Green,,70,36,,,Stench,Sticky Hold,Aftermath,0,,,2,0,0.6
Infernape,392,,,,,6,,Fire,Fighting,1:7,Field,Human-Like,20,,,5355,5140,5120,121.3,55,Medium Slow,"Pokémon with a bipedal, tailed form",Fire,4,Brown,C,70,,,,Blaze,,Iron Fist,0,,,3,11,1.2
Octillery,224,,,,,175,,Water,,1:1,Water 1,Water 2,20,5120,5376,5355,5140,5120,62.8,28.5,Medium Fast,Pokémon with tentacles or a multiped body,Water,2,Red,C,70,,,,Suction Cups,Sniper,Moody,1,Sea,4,2,11,0.9
Yveltal,717,,,,,149,Mo,Dark,Flying,GU,Undiscovered,—,120,,,,30840,30720,447.5,203,Slow,Pokémon with a single pair of wings,Dark,6,Red,,0,,,,Dark Aura,,,0,,,19,0,5.8
Stunky,434,,,,,84,,Poison,Dark,1:1,Field,—,20,,,5355,5140,5120,42.3,19.2,Medium Fast,Pokémon with a quadruped body,Poison,4,Purple,G,70,34,,,Stench,Aftermath,Keen Eye,0,,,1,4,0.4
Reshiram,643,,,,Overdrive mode,149,,Dragon,Fire,GU,Undiscovered,—,120,,,,30840,30720,727.5,330,Slow,Pokémon with a single pair of wings,Dragon,5,White,,0,,,,Turboblaze,,,0,,,10,6,3.2
Minior,774,,,,Meteor Form,213,,Rock,Flying,G,Mineral,—,25,,,,,6400,88.2,40,Medium Slow,Pokémon consisting of only a head,Rock,7,Brown,,70,,,,Shields Down,,,0,,,1,0,0.3
Mewtwo,150,,,,,150,,Psychic,,GU,Undiscovered,—,120,30720,30976,30855,30840,30720,269,122,Slow,"Pokémon with a bipedal, tailed form",Psychic,1,Purple,C,0,,,,Pressure,,Unnerve,0,Rare,7,6,7,2
Persian,53,,,,,53,,Normal,,1:1,Field,—,20,5120,5376,5355,5140,5120,70.5,32,Medium Fast,Pokémon with a quadruped body,Normal,1,Yellow,G,70,,,,Limber,Technician,Unnerve,1,Urban,1,3,3,1
Hypno,97,,,,,97,,Psychic,,1:1,Human-Like,—,20,5120,5376,5355,5140,5120,166.7,75.6,Medium Fast,"Pokémon with a bipedal, tailless form",Psychic,1,Yellow,F,70,,,,Insomnia,Forewarn,Inner Focus,1,Grassland,14,5,3,1.6
Silvally,773,,,,Type: Dark,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Panpour,515,,,,,21,,Water,,1:7,Field,—,20,,,,5140,5120,29.8,13.5,Medium Fast,"Pokémon with a bipedal, tailed form",Water,5,Blue,,70,,,,Gluttony,,Torrent,0,,,2,0,0.6
Zygarde,718,T,,,10% Forme,150,Mo,Dragon,Ground,GU,Undiscovered,—,120,,,,30840,30720,73.9,33.5,Slow,Pokémon with a quadruped body,Dragon,6,Black,,0,,,,Aura Break,Power Construct,,0,,,3,11,1.2
Silvally,773,,,,Type: Grass,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Golbat,42,,,,,42,,Poison,Flying,1:1,Flying,—,15,3840,4096,4080,3855,3840,121.3,55,Medium Fast,Pokémon with a single pair of wings,Poison,1,Purple,D,70,,,,Inner Focus,,Infiltrator,0,Cave,1,5,3,1.6
Loudred,294,,,,,46,,Normal,,1:1,Monster,Field,20,,5376,5355,5140,5120,89.3,40.5,Medium Slow,"Pokémon with a bipedal, tailed form",Normal,3,Blue,B,70,40,,,Soundproof,,Scrappy,0,Cave,4,3,3,1
Anorith,347,,,,,135,,Rock,Bug,1:7,Water 3,—,30,,7936,7905,7710,7680,27.6,12.5,Erratic,Pokémon with an insectoid body,Rock,3,Gray,E,70,40,,,Battle Armor,,Swift Swim,0,Water's-edge,11,2,4,0.7
Kabutops,141,,,,,141,,Rock,Water,1:7,Water 1,Water 3,30,7680,7936,7905,7710,7680,89.3,40.5,Medium Fast,"Pokémon with a bipedal, tailed form",Rock,1,Brown,E,70,,,,Swift Swim,Battle Armor,Weak Armor,0,Sea,14,4,3,1.3
Mareanie,747,,,,,113,,Poison,Water,1:1,Water 1,—,20,,,,,5120,17.6,8,Medium Fast,Pokémon consisting of a head and a base,Poison,7,Blue,,70,38,,,Merciless,Limber,Regenerator,0,,,1,4,0.4
Throh,538,,,,,44,,Fighting,,0:1,Human-Like,—,20,,,,5140,5120,122.4,55.5,Medium Fast,"Pokémon with a bipedal, tailless form",Fighting,5,Red,,70,,,,Guts,Inner Focus,Mold Breaker,0,,,4,3,1.3
Steelix,208,M,,Steelixite,Mega,63,,Steel,Ground,1:1,Mineral,—,25,6400,6656,6630,6425,6400,881.8,400,Medium Fast,Pokémon with serpentine bodies,Steel,2,Gray,,70,,,,Rock Head,Sturdy,Sheer Force,0,Cave,2,34,5,10.5
Raticate,20,A,,,Alolan,,,Dark,Normal,1:1,Field,—,15,3840,4096,4080,3855,3840,40.8,18.5,Medium Fast,Pokémon with a quadruped body,Normal,1,Black,,70,,,,Run Away,Guts,Hustle,0,Grassland,1,2,4,0.7
Krokorok,552,,,,,58,,Ground,Dark,1:1,Field,—,20,,,,5140,5120,73.6,33.4,Medium Slow,Pokémon with a quadruped body,Ground,5,Brown,,70,40,,,Intimidate,Moxie,Anger Point,0,,,3,3,1
Skiddo,672,,,,,89,Ce,Grass,,1:1,Field,—,20,,,,5140,5120,68.3,31,Medium Fast,Pokémon with a quadruped body,Grass,6,Brown,,70,32,,,Sap Sipper,,Grass Pelt,0,,,2,11,0.9
Masquerain,284,,,,,33,,Bug,Flying,1:1,Water 1,Bug,15,,4096,4080,3855,3840,7.9,3.6,Medium Fast,Pokémon with two or more pairs of wings,Bug,3,Blue,D,70,,,,Intimidate,,Unnerve,0,Water's-edge,5,2,7,0.8
Buzzwole,794,,,,,294,,Bug,Fighting,GU,Undiscovered,—,120,,,,,30720,735.5,333.6,Slow,Pokémon with tentacles or a multiped body,Bug,7,Red,,0,,,,Beast Boost,,,0,,,7,10,2.4
Arceus,493,,,,Type: Electric,,,Normal,,GU,Undiscovered,—,120,,,30855,30840,30720,705.5,320,Slow,Pokémon with a quadruped body,Normal,4,White,,0,,,,Multitype,,,0,,,10,6,3.2
Gliscor,472,,,,,154,,Ground,Flying,1:1,Bug,—,20,,,5355,5140,5120,93.7,42.5,Medium Slow,Pokémon with a single pair of wings,Ground,4,Purple,C,70,,,,Hyper Cutter,Sand Veil,Poison Heal,0,,,6,7,2
Butterfree,12,,,,,12,,Bug,Flying,1:1,Bug,—,15,3840,4096,4080,3855,3840,70.5,32,Medium Fast,Pokémon with two or more pairs of wings,Bug,1,White,A,70,,,,Compound Eyes,,Tinted Lens,0,Forest,1,3,7,1.1
Sharpedo,319,,,,,98,,Water,Dark,1:1,Water 2,—,20,,5376,5355,5140,5120,195.8,88.8,Slow,Pokémon with fins,Water,3,Blue,G,35,,,,Rough Skin,,Speed Boost,0,Sea,10,5,11,1.8
Mawile,303,M,,Mawilite,Mega,69,,Steel,Fairy,1:1,Field,Fairy,20,,5376,5355,5140,5120,25.4,11.5,Fast,"Pokémon with a bipedal, tailless form",Steel,3,Black,,70,,,,Hyper Cutter,Intimidate,Sheer Force,0,Cave,6,3,3,1
Passimian,766,,,,,177,,Fighting,,1:1,Field,—,20,,,,,5120,182.5,82.8,Slow,"Pokémon with a bipedal, tailed form",Fighting,7,White,,70,,,,Receiver,,Defiant,0,,,6,7,2
Vivillon,666,,,,Monsoon Pattern,22,Ce,Bug,Flying,1:1,Bug,—,15,,,,3855,3840,37.5,17,Medium Fast,Pokémon with two or more pairs of wings,Bug,6,White,,70,,,,Shield Dust,Compound Eyes,Friend Guard,0,,,3,11,1.2
Pichu,172,,,,,21,,Electric,,1:1U,Undiscovered,—,10,2560,2816,2805,2570,2560,4.4,2,Medium Fast,Pokémon with a quadruped body,Electric,2,Yellow,D,70,,,,Static,,Lightning Rod,0,Forest,7,1,0,0.3
Ninetales,38,A,,,Alolan,,,Ice,Fairy,3:1,Field,—,20,5120,5376,5355,5140,5120,43.9,19.9,Medium Fast,Pokémon with a quadruped body,Fire,1,Blue,,70,,,,Flash Fire,,Drought,0,Grassland,17,3,7,1.1
Gabite,444,,,,,110,,Dragon,Ground,1:1,Monster,Dragon,40,,,10455,10280,10240,123.5,56,Slow,"Pokémon with a bipedal, tailed form",Dragon,4,Blue,C,70,48,,,Sand Veil,,Rough Skin,0,,,4,7,1.4
Grimer,88,,,,,88,,Poison,,1:1,Amorphous,—,20,5120,5376,5355,5140,5120,66.1,30,Medium Fast,Pokémon consisting of a head and arms,Poison,1,Purple,G,70,38,,,Stench,Sticky Hold,Poison Touch,0,Urban,2,2,11,0.9
Gourgeist,711,,,,Large Size,64,Mo,Ghost,Grass,1:1,Amorphous,—,20,,,,5140,5120,30.9,14,Medium Fast,Pokémon consisting of a head and a base,Ghost,6,Brown,,70,,,,Pickup,Frisk,Insomnia,0,,,3,7,1.1
Arcanine,59,,,,,59,,Fire,,1:3,Field,—,20,5120,5376,5355,5140,5120,341.7,155,Slow,Pokémon with a quadruped body,Fire,1,Brown,C,70,,,,Intimidate,Flash Fire,Justified,0,Grassland,21,6,3,1.9
Bellossom,182,,,,,86,,Grass,,1:1,Grass,—,20,5120,5376,5355,5140,5120,12.8,5.8,Medium Slow,"Pokémon with a bipedal, tailless form",Grass,2,Green,B,70,,,,Chlorophyll,,Healer,0,Grassland,8,1,4,0.4
Cutiefly,742,,,,,83,,Bug,Fairy,1:1,Bug,Fairy,20,,,,,5120,0.4,0.2,Medium Fast,Pokémon with an insectoid body,Bug,7,Yellow,,70,25,,,Honey Gather,Shield Dust,Sweet Veil,0,,,0,4,0.1
Kingdra,230,,,,,192,,Water,Dragon,1:1,Water 1,Dragon,20,5120,5376,5355,5140,5120,335.1,152,Medium Fast,Pokémon consisting of a head and a base,Water,2,Blue,C,70,,,,Swift Swim,Sniper,Damp,1,Sea,11,5,11,1.8
Tirtouga,564,,,,,70,,Water,Rock,1:7,Water 1,Water 3,30,,,,7710,7680,36.4,16.5,Medium Fast,Pokémon with a quadruped body,Water,5,Blue,,70,37,,,Solid Rock,Sturdy,Swift Swim,0,,,2,4,0.7
Gothita,574,,,,,80,,Psychic,,3:1,Human-Like,—,20,,,,5140,5120,12.8,5.8,Medium Slow,"Pokémon with a bipedal, tailless form",Psychic,5,Purple,,70,32,,,Frisk,Competitive,Shadow Tag,1,,,1,4,0.4
Metang,375,,,,,191,,Steel,Psychic,G,Mineral,—,40,,10496,10455,10280,10240,446.4,202.5,Slow,Pokémon consisting of a head and arms,Steel,3,Blue,E,35,45,,,Clear Body,,Light Metal,0,Rough-terrain,10,3,11,1.2
Luxio,404,,,,,18,,Electric,,1:1,Field,—,20,,,5355,5140,5120,67.2,30.5,Medium Slow,Pokémon with a quadruped body,Electric,4,Blue,C,100,30,,,Rivalry,Intimidate,Guts,0,,,2,11,0.9
Exeggutor,103,A,,,Alolan,,,Grass,Dragon,1:1,Grass,—,20,5120,5376,5355,5140,5120,264.6,120,Slow,Pokémon consisting of a head and legs,Grass,1,Yellow,,70,,,,Chlorophyll,,Harvest,0,Forest,19,35,9,10.9
Drilbur,529,,,,,35,,Ground,,1:1,Field,—,20,,,,5140,5120,18.7,8.5,Medium Fast,"Pokémon with a bipedal, tailed form",Ground,5,Gray,,70,31,,,Sand Rush,Sand Force,Mold Breaker,0,,,1,0,0.3
Pikachu,25,,,,Belle,25,,Electric,,1:1,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,Pokémon with a quadruped body,Electric,1,Yellow,D,70,,,,Static,,Lightning Rod,0,Forest,7,1,4,0.4
Exeggcute,102,,,,,102,,Grass,Psychic,1:1,Grass,—,20,5120,5376,5355,5140,5120,5.5,2.5,Slow,Pokémon consisting of multiple bodies,Grass,1,Pink,B,70,,,,Chlorophyll,,Harvest,0,Forest,19,1,4,0.4
Oricorio,741,,,,Pom-Pom Style,82,,Fire,Flying,3:1,Flying,—,20,,,,,5120,7.5,3.4,Medium Fast,Pokémon with a single pair of wings,Fire,7,Yellow,,70,,,,Dancer,,,0,,,2,0,0.6
Shellos,422,E,,,East Sea,60,,Water,,1:1,Water 1,Amorphous,20,,,5355,5140,5120,13.9,6.3,Medium Fast,Pokémon with serpentine bodies,Water,4,Blue,,70,30,,,Sticky Hold,Storm Drain,Sand Force,0,,,1,0,0.3
Trumbeak,732,,,,,11,,Normal,Flying,1:1,Flying,—,15,,,,,3840,32.6,14.8,Medium Fast,Pokémon with a single pair of wings,Normal,7,Black,,70,28,,,Keen Eye,Skill Link,Pickup,0,,,2,0,0.6
Haunter,93,,,,,93,,Ghost,Poison,1:1,Amorphous,—,20,5120,5376,5355,5140,5120,0.2,0.1,Medium Slow,Pokémon consisting of a head and arms,Ghost,1,Purple,G,70,,,,Levitate,,,0,Cave,7,5,3,1.6
Wooper,194,,,,,56,,Water,Ground,1:1,Water 1,Field,20,5120,5376,5355,5140,5120,18.7,8.5,Medium Fast,Pokémon consisting of a head and legs,Water,2,Blue,G,70,20,,,Damp,Water Absorb,Unaware,0,Water's-edge,6,1,4,0.4
